tileid,parenttile_id,resourceinstance_id,Monument depth,Monument Shape,Monument diameter,Number of storeys,Monument height ,monument length,Monument shape other,sortorder,provisionaledits,nodegroup_id
4bf09cd4-d4e2-4a31-816d-d7389f598800,6a1c4509-2c5a-4b20-9a61-874448cd6e24,00fd72ab-5246-418e-b001-825a2f227a57,245.0,Rectangular,,1.0,408.0,475.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
2070a483-cab5-4ac0-aabb-66b34fbed966,9c60d139-48be-4e8d-a927-79d30d69eed4,01610bbc-5297-47cf-9164-9fa4f72a15a8,287.0,Square,,0.0,336.0,287.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
7f4469ba-cd09-4683-bc74-4427e8d16260,f2a95745-a235-40a8-9ea1-80418550a537,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,285.0,Square,,1.0,750.0,285.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
050d1e61-3545-4d40-8ec4-c27db5b9ac71,e0949e76-f4c4-4b10-8dcf-e2a759bc1b6e,01de2008-1b9b-41d9-821a-b1eb6693db80,290.0,Rectangular,,2.0,779.0,676.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
24a4914e-21f1-446c-a2e9-1bc240893f8d,59224de4-e1ea-4dca-bd42-4b6b4b4f7a49,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,850,Square,,0,960.0,857,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
1c1f2411-786f-4220-ae61-79cf081e4a14,6e6460d0-5636-44e6-af40-9974e132f1c6,02509f50-336d-423f-ac40-60dffc2d905c,325.0,Rectangular,,2.0,,955.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
24ee6c65-6b6f-44c9-a679-c000c3f92854,8f9e2376-40b8-4271-a8e7-fabed81b4f6b,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,225,,,2,694,225,square,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
142bd69a-f316-4adf-bb07-be635ce870f9,8eecd993-20a8-4626-acd5-7db701a64cc8,03ab0902-61c8-4458-8eee-f23e345d9372,237.0,Rectangular,,2.0,638.0,447.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
9e7d7876-5d8f-443d-91a4-b1456464c665,d4deb720-1e01-4e33-bf67-e67624ef1a18,049dc399-08e2-47c4-85b9-e66851694e69,150.0,Square,,0,,150.0,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
64dff28f-332c-4977-bc94-e73489410431,26530700-b7c9-4480-a47d-6baeb1912423,054498ec-d633-11e9-beea-0242ac140006,342,,,4,882,587.5,,0,,32f2318a-9eea-11e9-8cbd-0242ac120006
