tileid,parenttile_id,resourceinstance_id,Capital Width,Iconographical and decorative motifs,Column Width,Column Height,Cakula Depth,Cakula Height,Column Depth,Capital Depth,Forms of columns,Capital Height,Lintel depth,Lintel Height,Lintel width,Cakula Width,sortorder,provisionaledits,nodegroup_id
658c3084-65fb-4555-8c35-bab56c2fe356,6a1c4509-2c5a-4b20-9a61-874448cd6e24,00fd72ab-5246-418e-b001-825a2f227a57,,,30.0,,,,30.0,,Round,,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
0740735f-2e26-4fe6-a7cb-4ea607057983,9c60d139-48be-4e8d-a927-79d30d69eed4,01610bbc-5297-47cf-9164-9fa4f72a15a8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
0bbdd5f5-9bd2-4566-b613-75323d20e2fa,f2a95745-a235-40a8-9ea1-80418550a537,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
26472361-b7c8-4fc5-9f2e-4a3594b0304d,e0949e76-f4c4-4b10-8dcf-e2a759bc1b6e,01de2008-1b9b-41d9-821a-b1eb6693db80,93.0,,15.0,194.0,25.0,,15.0,15.0,Square,15.0,18.0,15.0,,25.0,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
f259ecaf-6ec5-449e-9f82-f2e7c06faeed,59224de4-e1ea-4dca-bd42-4b6b4b4f7a49,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,,,,,,,,,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
5b726e7d-da54-4bfd-9322-eb955c7ca7c2,8eecd993-20a8-4626-acd5-7db701a64cc8,03ab0902-61c8-4458-8eee-f23e345d9372,73.0,,15.0,167.0,0.0,0.0,15.0,15.0,Square,15.0,14.0,14.0,,0.0,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
53d4a69b-886c-4bd8-93b3-edcafa3ac12b,3363e158-b7bd-48ba-9048-935ece561c4c,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,150.0,,,,,Round,,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
86fdc040-16ca-4fb2-bda6-2555dea2f596,5865848b-ee42-41c0-ad19-f73e9e983451,0687a32c-e7e8-11e9-8bc4-0242ac130002,14,,16,184,,,12,10,Rectangular,82,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
1d2e5bdd-75b3-4b98-86c5-a2c06b55e0cf,e53687b7-1b82-4af5-88cf-a1ebe8157b49,06a4360c-e5ec-11e9-b125-0242ac130002,,,32,240.0,,,28,,Square,,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
16ffca53-f646-4dd8-9c2c-fe098fc06cf9,21d65540-7283-451e-a450-66ba8e8e9f7a,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,135.0,,20.0,185.0,0.0,0.0,20.0,20.0,Square,20.0,20.0,20.0,,0.0,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
9a4820e7-16d4-4f25-89cf-b9e0465ec070,0cf4a57b-31c1-4f10-a1fb-7d7f5696ccb8,0706813a-e81d-11e9-8bc4-0242ac130002,12,Vegetal motifs,16,193,,,16,17,Square,77,27,17.0,17,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
8bb59056-c3a8-407b-ac7a-05eb3db5b51b,c65be412-1f2a-41ea-83d1-017df398294f,08473132-9181-44fe-8412-4d89e5dd27e4,,,,,,,,,Square,,,,,,0,,32f23cd4-9eea-11e9-8cbd-0242ac120006
