tileid,parenttile_id,resourceinstance_id,monument assessment ,monument other threats,monument identified threats,sortorder,provisionaledits,nodegroup_id
88cefe05-3415-482b-b6f6-25d6e9039e74,None,00fd72ab-5246-418e-b001-825a2f227a57,"Good (very few light surface damages, renovated or repaired)",,,0,,30409102-9323-11e9-abc0-0242ac120006
2eddda0f-3742-4054-9edd-1545daa2ae49,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,,0,,30409102-9323-11e9-abc0-0242ac120006
ee8699c8-8887-4a5c-ae02-69c937237aa6,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,Demolition/Dismantling,"<p>The temple is dismanteled and currently under reconstruction (November 2020)</p>
",,0,,30409102-9323-11e9-abc0-0242ac120006
6e0a7219-4fa9-484d-a3e8-9ae2b299506d,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Rebuilt,,,0,,30409102-9323-11e9-abc0-0242ac120006
f690f682-e03c-4e11-8f08-1d015dfc243d,None,01de2008-1b9b-41d9-821a-b1eb6693db80,Rebuilt,,,0,,30409102-9323-11e9-abc0-0242ac120006
f523d579-8ff7-473f-a412-ceec8ae59d4e,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,,0,,30409102-9323-11e9-abc0-0242ac120006
b78d3cf1-e7ad-4071-8c83-e06d8aff43e1,None,02509f50-336d-423f-ac40-60dffc2d905c,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths),Structural damages",,Erosion,0,,30409102-9323-11e9-abc0-0242ac120006
acef2e4c-c182-4bcd-b9dc-b41d2092ca46,None,03ab0902-61c8-4458-8eee-f23e345d9372,Rebuilt,"<p>The Phalcā collapsed during the 1934CE earthquake.&nbsp;</p>
",Road widening,0,,30409102-9323-11e9-abc0-0242ac120006
f5931e97-eb18-4d55-b47a-2a64bdfb95d2,None,049dc399-08e2-47c4-85b9-e66851694e69,"Good (very few light surface damages, renovated or repaired)",,Erosion,0,,30409102-9323-11e9-abc0-0242ac120006
9f314b53-4b1d-4a2d-8eef-e01efd2d8145,None,04e62546-0b04-41d7-9651-12189c45e5c6,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,"Wall cracks,Erosion",0,,30409102-9323-11e9-abc0-0242ac120006
17ef7b13-cac9-4a70-8456-2eaaaf0fddc1,None,054498ec-d633-11e9-beea-0242ac140006,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths),Collapsed",,Erosion,0,,30409102-9323-11e9-abc0-0242ac120006
24e006ae-661b-4676-8e13-97c0d884def8,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Repaired ,,Water damages,0,,30409102-9323-11e9-abc0-0242ac120006
6262abcc-84b1-4974-aed5-361a88e777e2,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,"Good (very few light surface damages, renovated or repaired)",,Encroachment ,0,,30409102-9323-11e9-abc0-0242ac120006
77d14ece-083a-4dc1-9385-16d5af8fccca,None,068cb560-e748-11e9-b125-0242ac130002,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,Water damages,0,,30409102-9323-11e9-abc0-0242ac120006
6cd32386-d6bf-4da7-a31d-94b8c9bcd82c,None,06a4360c-e5ec-11e9-b125-0242ac130002,"Good (very few light surface damages, renovated or repaired)",,,0,,30409102-9323-11e9-abc0-0242ac120006
ebf8eb5e-a497-4fcb-9864-e85f3ab957c7,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,"Road widening,Encroachment ",0,,30409102-9323-11e9-abc0-0242ac120006
82699c2b-0f58-4458-bfbc-87544a967ebc,None,0706813a-e81d-11e9-8bc4-0242ac130002,"Good (very few light surface damages, renovated or repaired)",,,0,,30409102-9323-11e9-abc0-0242ac120006
9694be49-97e9-4346-996d-fac416ba546a,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,Collapsed,,,0,,30409102-9323-11e9-abc0-0242ac120006
ed5fea2e-6195-47b6-bc25-b38310dbf56c,None,08473132-9181-44fe-8412-4d89e5dd27e4,Surface damages,"<p>This pillar&#39;s conservation is mainly threatened by erosion. Its installation, along with the two pillars of SRK0040, within one of the nearby shrines of the&nbsp;Jaleśvara Mandira or under a shed, may prevent further decaying of the pillar.&nbsp;</p>
",Erosion,0,,30409102-9323-11e9-abc0-0242ac120006
d2f56292-66b4-4c8d-b145-f13830e9aecd,None,09670bee-ec13-11e9-b125-0242ac130002,"Good (very few light surface damages, renovated or repaired)",,Encroachment ,0,,30409102-9323-11e9-abc0-0242ac120006
3316865a-c90b-4777-bb71-78d4086979f4,None,099d312a-d5a9-40b1-9144-91b28545912d,"Other,Rebuilt,Demolition/Dismantling","<p>Very little is left of the medieval monument. A potential threat would be that the remaining spouts are also cemented.</p>
","Road widening,Missing stones at plinths,Erosion",0,,30409102-9323-11e9-abc0-0242ac120006
871a60ec-2bbb-4946-af7a-52b4fef2464a,None,09adaf39-4932-4356-b6d1-3cce3af16e82,"Good (very few light surface damages, renovated or repaired),Restored","<p>The temple was in a fair condition when it was surveyed in 2014.</p>

<p>The proportions of the recently installed&nbsp;<em>āmalaka</em>&nbsp;ring are inacurrate (too thick).</p>
",Erosion,0,,30409102-9323-11e9-abc0-0242ac120006
59eaa569-9648-45e1-a42f-5f4e4623e917,None,09cff614-e084-49eb-9fd7-7e4eb20cd37d,Rebuilt,,,0,,30409102-9323-11e9-abc0-0242ac120006
e1fdb48f-dbcb-4215-827c-7bf36de80d4a,None,0a5850e6-17f9-11ea-b9b1-0242ac130002,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,Missing stones at plinths,0,,30409102-9323-11e9-abc0-0242ac120006
4e71be51-35ca-4af2-82af-9a7e89595a5f,None,0aa65aef-7a50-4942-9e17-f6e077dbb14a,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)","<p>The archaeological objects kept in the premises of&nbsp;Kālikā Mālikā Mandira are in a relatively good state.</p>

<p>Potential threats may arise during the painting or plastering work of&nbsp;on the present-day temple. Special attention should be paid&nbsp;to&nbsp;the unique anthropomorphic stele (MUG0010-005).</p>
",Encroachment ,0,,30409102-9323-11e9-abc0-0242ac120006
d3497130-f83b-46e6-81c5-da3f56cb7413,None,0b26d633-56f8-4872-859c-76d7f7c0677d,"Good (very few light surface damages, renovated or repaired)",,,0,,30409102-9323-11e9-abc0-0242ac120006
5cf0b4b3-03df-49d9-9a43-46528ef7845f,None,0b6871b6-44e1-45f4-9074-005d6e68a28e,"Slightly damaged (minor damages such as minor cracks, plants, missing stones in plinths)",,,0,,30409102-9323-11e9-abc0-0242ac120006
