tileid,parenttile_id,resourceinstance_id,social activity description,social activity name,social activities reference types,social activities references,sortorder,provisionaledits,nodegroup_id
c9a49c9f-f27f-4f97-9e6f-55e0ba068f53,52481dcd-5283-4685-9b24-6d07d1898656,00fd72ab-5246-418e-b001-825a2f227a57,"<p>On the day of Indrajātrā, the Kāyasthas from the Bakhuṃ Bāhāḥ used to display <em><a href=""https://danam.cats.uni-heidelberg.de/glossary/meaning/0f329aaa-3860-456a-ab1b-39e6fb8c17dd/"" target=""_blank""><strong><em>Hāthudyaḥ</em></strong></a></em> and distribute <em>thvã</em> throughout the day. However, the tradition of distributing <em>thvã</em> has come to and end, but they still bring Hāthudyaḥ to the&nbsp;Phalcā, perform a worship for a while, and take back the statue as soon as the worship is over.</p>
",Display of Hāthudyaḥ,,"<p>The vice president of the Kumila Ṭola Sudhāra Samiti from Nakarmī caste, male, age 48</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
cc0573d0-d3ab-436e-90a6-5089f1d62e5d,40e88c8e-fae7-4519-9cca-fdbcc5d46099,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>The other&nbsp;<em>śivaliṅga </em>known as Lukumahādyaḥ&nbsp;(KIR0013-011) near the&nbsp;Caitya&nbsp;is worshipped by&nbsp;locals on&nbsp;Pāhāṃcaḥrhay (the 14th day of the dark fortnight of Caitra).</p>
",Lukumāḥdyaḥ worship,,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
b0c33c4b-6a43-458f-8426-caef77d973d7,01ae67c1-6efd-4f54-b537-e074d60b07b0,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>The&nbsp;<em>śivali</em><em>ṅ</em><em>ga</em>&nbsp;(KIR0013-008) next to the&nbsp;Caitya&nbsp;is worshipped by a Jośī family of the&nbsp;Ṭola&nbsp;on Śivarātri. They have kept the tradition of having a bonfire on that night.</p>
",Śivaliṅga worship and bonfire on Śivarātri,,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
51d37347-2e67-436b-8609-80ad4776e2d4,e2b6991e-30e1-4029-8d42-f25ad4f3e028,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>The Caitya&nbsp;is worshipped also during the annual procession of the Buddhist monuments called &#39;<em>bāhāḥ cāḥ hilegu</em>&#39; in Kirtipur in memory of the deceased within a year. Family members of the deceased go round the city in accompany of a priest on the night of&nbsp;Gunpunhi&nbsp;and the following morning.</p>
",Visiting bāhāḥs and other Buddhist monuments (bāhāḥ cāḥ hilegu),,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
5404e96b-42af-4255-bfa9-0db6b6e75fc7,7941f96e-7269-4de1-8814-95e092fa8eeb,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>Buddhist monuments of the Newar settlements are mandatorily worshiped in the month of Guṃlā. On the full moon day of this month, the Mātakhyaḥ Śikhrakūṭa Caitya too gets a special worship from the above-mentioned Vajrācārya family (see the description above).</p>
",Special worship in Guṃlā,,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
70e6fbd6-0e48-49d4-a8d2-7b54eb85ecf3,2baaee38-b157-492c-92fe-7c0353a68cb4,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>A Vajrācārya family living south of the&nbsp;Caitya&nbsp;offers a special worship to it twice a year. The family performs the anniversary ritual on the day of&nbsp;Śrīpañcamī&nbsp;and a special worship on the day of&nbsp;Gunpunhi. The&nbsp;Caitya&nbsp;is cleaned and gets a coat of oil paint before the worship. Although the inscription instructs the anniversary to be performed on the full moon day of Āśvina, it is now being performed on&nbsp;the Śrīpañcamī day.</p>
",Anniversary and other rituals,,"<p>Local knowledge: A local resident, Vajrācārya, female, age 66</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
1223944e-8928-4598-9f97-da32e15b92fb,7c2350fe-fa0f-4f24-a97b-a0e63afb7c3a,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,"<p>The Temple neither has a priest nor does any socio-religious event takes place here. Locals, in the course of making rounds to various shrines early morning, worship the main deity of this Temple as well.</p>
",Worship by local residents,,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
2d211758-b6ac-4432-ba72-31ee2fb09561,c3fb8c54-6ceb-4868-aa1d-8b5371e14af2,01de2008-1b9b-41d9-821a-b1eb6693db80,"<p>Hymns are recited in the evenings of Sakimilā Punhi (full moon day of Kārtika) and Indrajātrā (full moon day of Bhādra). Similarly, hymns are sung in the morning throughout the month of Māgha. Buddhist hymns are performed in the morning throughout the month of Guṃlā.</p>
",Recitation of hymns (bhajana-gāyana),,"<p><em>Bhajana</em> guru of&nbsp;Lvahãlã Ṭola from a Maharjana caste, male, age 74</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
cc4ba93c-6ded-4190-b28b-1bfd8b9300e5,d740c733-6d11-4415-96ef-6858ec6304a3,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p>Previously, the <em>saṅgha </em>members of the Tamu Bāhāḥ used to carry out the daily rituals here. However, no such rituals take place in the Caitya premises these days.</p>
",Daily worship,,"<p>Local resident from a Maharjana caste, male, age 78</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
9ab256f3-e4c1-4f40-a0bf-be3b0fd3330c,1b6ced70-e04f-4659-b367-979d7bd14210,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p>A <em>pulu</em>&nbsp;(mat made of bamboo strips) is offered to the thirteen <em>bhuvanas</em> of the Caitya on the full moon day of Śrāvaṇa, which remains there until the eighth day of the bright fortnight of Āśvina. A separate <em>guthi</em> is responsible for this task.</p>
",Offering pulu,,"<p>Local resident from a Maharjana caste, male, age 78</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
