tileid,parenttile_id,resourceinstance_id,historical construction period, historical pakshya,historical enddate,historical tithi,historical date (BCE/CE) ,historical peculiarities, historicalnepalimonth,historicalgate,historicaleventyear,sortorder,provisionaledits,nodegroup_id
61aa1f0a-bddd-403f-a52f-0e85046edc2f,946ed4c7-b2c2-4498-a55b-0f022686759d,00fd72ab-5246-418e-b001-825a2f227a57,Democratic Period (1990-),,,,2021,,,,"<p>VS 2078</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
4c5fe9f1-564b-40ff-bebd-dca803ba8f84,9a607613-e204-4115-b9e5-f4489af7dbcc,01610bbc-5297-47cf-9164-9fa4f72a15a8,Shumsher Rana Period (1885-1951),Bright fortnight ,,4,1943,,Māgha,,"<p>NS 1063</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
e8131ef9-cc43-47b4-a110-00f9803a03c4,6909af1f-0da4-46c0-9fad-035f2ac7be48,01610bbc-5297-47cf-9164-9fa4f72a15a8,Late Shaha Period (1951-1990),,,,1976,,,,"<p>VS 2033</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
8539608f-4cae-431d-809a-f57718d45ec7,3b8256d2-b8ab-4d72-8856-f446c37474c1,01610bbc-5297-47cf-9164-9fa4f72a15a8,Democratic Period (1990-),Gate,,,2015,,Vaiśākha (Vaisākha),12,"<p>VS 2072</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
31a20c22-0116-4752-b171-5e04960f3e58,ecfeab44-696e-4a9b-9b40-6759b1dab45a,01610bbc-5297-47cf-9164-9fa4f72a15a8,Democratic Period (1990-),,,,2016,,,,"<p>VS 2073</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
2078a212-636c-4196-a0b3-8999ff60406a,4e3c6de4-8ff1-4cc5-8c09-d7fe6e75d469,01610bbc-5297-47cf-9164-9fa4f72a15a8,Late Malla period (1482-1768/69),Dark fortnight,,12,1746,,Vaiśākha (Vaisākha),,"<p>NS 866</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
f84b080f-6f82-4141-bc71-7106bac363d1,02ef1d87-aa18-49a2-b060-79f462d2de54,01610bbc-5297-47cf-9164-9fa4f72a15a8,Early Shaha Period (17th century-1846),Bright fortnight ,,8,1780,,Āṣāḍha (Asāra),,"<p>NS 900</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
630463af-ed7a-45f1-8afa-bcac04b7c6c9,fef816bd-2232-4281-9581-63a74782993e,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Democratic Period (1990-),,,,2020,,Mārgaśīrṣa (Maṅsira),10,"<p>VS 2077</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
84af4313-d473-45c3-be76-6e1c77e18b34,70818d19-4b94-4944-ac2a-5cb3394ec8e3,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Democratic Period (1990-),,,,2020,,,,"<p>VS 2077</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
17213633-f4ab-448a-b976-4a5695dc24a3,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Democratic Period (1990-),,,,2020,,Mārgaśīrṣa (Maṅsira),10,"<p>VS 2077</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
