tileid,parenttile_id,resourceinstance_id,historicaldetailimage,historicaldetailimagecaption,Historical Event Description,historical event name,historical event category,sortorder,provisionaledits,nodegroup_id
01b963b4-1513-490f-b96e-9447768af58e,946ed4c7-b2c2-4498-a55b-0f022686759d,00fd72ab-5246-418e-b001-825a2f227a57,,,"<p>The <em>jaḥdhuṃhiti</em> was abandoned and neglected for long. Recently, in 2021 CE, local residents cleaned the <em>hiti</em> and installed a water spout by collecting donations.</p>
",Cleaning jaḥdhuṃhiti and installation of  water spout ,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
dc8bfc5e-9912-46b7-875e-95ebf4dff184,9a607613-e204-4115-b9e5-f4489af7dbcc,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>The inscription on the upper octagon of the Dahrmadhātu (KIR0013-007) records that it was constructed by Dānamuni Vajrācārya.</p>
",Construction of Dharmadhātu Maṇḍala,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
ab9334c8-c916-4dbb-bf64-139cf6d6a5d1,6909af1f-0da4-46c0-9fad-035f2ac7be48,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>The Śivaliṅga&nbsp;(KIR0013-008) was installed at&nbsp;the Mātakhyaḥ courtyard by Jitānanda Jośī.</p>
",Installation of Śivaliṅga ,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
e1fc4921-f3ae-4a75-af98-f6e33bb6a520,3b8256d2-b8ab-4d72-8856-f446c37474c1,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>The Devala&nbsp;(KIR0013-010) was seriously damaged during&nbsp;the 2015 earthquakes.</p>
",Tulasī Devala suffered damages during the 2015 earthquakes,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
509f274c-27b5-49f8-a060-4094efb5c276,ecfeab44-696e-4a9b-9b40-6759b1dab45a,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>The Devala was reconstructed&nbsp;by the local communities.</p>
",Reconstruction of Tulasī Devala,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
e4e0a404-4b0c-4ab6-8c40-30f35eb03efa,4e3c6de4-8ff1-4cc5-8c09-d7fe6e75d469,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>There used to be an inscription relating to this&nbsp;Caitya&nbsp;but that has been lost.&nbsp;<a href=""http://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/84R233N4/q/sukra""><strong>Ś. Śre</strong><strong>ṣṭ</strong><strong>ha</strong></a>&nbsp;(VS 2057, p. 148) has transliterated the&nbsp;inscription (note that <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/2S8K64WV"" target=""_blank""><strong>Shokoohy and others</strong></a>&nbsp;[2014, p. 355] have edited it). According to that inscription, the&nbsp;Caitya&nbsp;was constructed by Dharmajyoti of a Śākya clan (Śākyavaṃśa), his wife Manadhari, along with his younger brothers Indrajyoti and Ratnapāni in the name of their father.&nbsp;It also records that anniversary of the&nbsp;Caitya&nbsp;should be observed on the full moon day of Āśvina, and lists items required for the worship. Furthermore, the inscription informs us about a land endowment (measuring two <em>ropanīs</em>) made by Manadhari, wife of the founder in order to sponsor the rituals.</p>
","Initial construction, anniversary worship, land endowment",,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
2d649ac4-41cf-4462-9726-0a24874d3a5b,02ef1d87-aa18-49a2-b060-79f462d2de54,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,"<p>The inscription on the capstone of the Tulasī Devala (KIR0013-010) is eroded. However, we can assume that it records the initial construction of the Devala.</p>
",Construction of Tulasī Devala (?),,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
c0ebd5d8-c94d-407e-85d2-dc1088972be7,fef816bd-2232-4281-9581-63a74782993e,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,"<p>The <em>patā</em><em>ḥ</em>&nbsp;was offered by Madanadevī Sinyā together with her sons Maheśvara and Rabina in the memory of her husband/their father Lakṣmī Bahādura Sinyā.</p>
",Offering of a patāḥ,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
4876f2a4-7e9c-4aaf-9cc2-d3658f2d0838,70818d19-4b94-4944-ac2a-5cb3394ec8e3,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,"<p>After it suffered damages during the 2015 earthquakes, it was rebuilt with the grant assistance of 700,000 rupees from the Lalitpur Metropolis and donations of 500,000 rupees from the locals. The old set of the doorframe of the main entrance to the sanctum was used again in the reconstruction. The inauguration of the Temple is yet to take place, as some works of the plinth are yet to complete (as of July 2021).</p>
",Rebuilding the Temple,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
18f766bb-0683-4cda-8ed8-c203313187e1,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,"<p>Prākāśa Sinyā offered the bell to the Temple in the memory of his father Rāmalāla Sinyā and mother Julumanānī Sinyā.</p>
",Offering of a bell,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
6a19dd80-ed75-4637-adbd-af0f5a5233f6,826025f3-75b6-4a58-a168-efb592242573,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,"<p>The Temple suffered damages during the 2015 earthquakes.</p>
",Damage by the 2015 earthquake,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
7cf0fb23-f039-4e08-b3a2-575a096e44df,2cb0866c-c87e-4511-8e11-6e3196f82263,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,"<p><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"" target=""_blank"">Pruscha </a></strong>1975 (P-250)&nbsp;mentions that it&nbsp; was renovated in 1970.</p>
",Renovation of the Temple,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
04a7f483-9d42-4d23-beba-3a9faf28a3e7,34b8a8b2-3a8c-4e7b-a461-a397853db76a,01de2008-1b9b-41d9-821a-b1eb6693db80,,,"<p>The Phalcā was damaged by the 2015 earthquakes. Since then, local residets fixed timber braces to support the Phalcā.</p>
",Earthquake damage,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
