tileid,parenttile_id,resourceinstance_id,Spatial Coordinates Geometry,sortorder,provisionaledits,nodegroup_id
ed8bc4a5-761e-4aba-9454-26c8e8f6519e,None,00fd72ab-5246-418e-b001-825a2f227a57,GEOMETRYCOLLECTION (POINT (85.32600510139133 27.67539063874548)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
c2fd0029-05c5-4118-af01-553a49e841c3,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,GEOMETRYCOLLECTION (POINT (85.27940812772567 27.67643282072829)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
aeff6f53-834f-4697-a51f-16d1a70e0323,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,GEOMETRYCOLLECTION (POINT (85.32845040285935 27.66970063722489)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
722fc461-16b3-4af5-9a5d-53150acfe9c0,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,GEOMETRYCOLLECTION (POINT (85.32756637630496 27.67018627353343)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a7a6271e-f705-498f-9503-d15966e3c26a,None,01de2008-1b9b-41d9-821a-b1eb6693db80,GEOMETRYCOLLECTION (POINT (85.32862075021586 27.67299401157182)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e50f3b61-352d-4354-8066-360cf5a7f9f8,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,GEOMETRYCOLLECTION (POINT (85.30463481034224 27.7000487243546)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
5f58033d-41c1-42e7-b9a2-3ea821c86170,None,02509f50-336d-423f-ac40-60dffc2d905c,GEOMETRYCOLLECTION (POINT (85.32857447335567 27.66978303713791)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
3b50fe47-0bb5-48db-80fa-c940dca066c8,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32619382114257 27.6754639925878)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a010feb2-b265-4449-9644-e01377df6b8d,None,03ab0902-61c8-4458-8eee-f23e345d9372,GEOMETRYCOLLECTION (POINT (85.32748074643314 27.67286699527756)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
966b7acb-a399-45f8-972e-869cd5e3f774,None,049dc399-08e2-47c4-85b9-e66851694e69,GEOMETRYCOLLECTION (POINT (85.3261699504742 27.66831780972741)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
fca70435-e841-452d-8d22-3ccfcbda1358,None,04e62546-0b04-41d7-9651-12189c45e5c6,GEOMETRYCOLLECTION (POINT (85.32412750963391 27.6756053239379)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
39e5a1d3-116f-4618-a095-58b2359e4943,None,054498ec-d633-11e9-beea-0242ac140006,GEOMETRYCOLLECTION (POINT (85.32432011961401 27.67541290315753)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6b4aa60d-d406-44b5-b574-85455e40d89f,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32346418267315 27.67555948280416)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
b3f0d1c7-d351-4554-a833-b2ebed4951ea,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32797170301852 27.66970387829654)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
2204f58d-ab3f-4277-ad07-6595440de50d,None,068cb560-e748-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32306841500922 27.67578913409844)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
73c35c72-e10d-4882-82e9-103e49ec9f1b,None,06a4360c-e5ec-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.33010798981496 27.66970188907596)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
7c1847b2-0436-40ef-b7b0-8c88ba20ffcc,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,GEOMETRYCOLLECTION (POINT (85.30426775339095 27.70261585282641)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
68fdecb1-4ce3-4a02-b2b4-16b22273b24b,None,0706813a-e81d-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32672634827827 27.67482675750858)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
60f13b5a-028b-48ce-b562-02f24a35dd33,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3216301795556 27.67315919704958)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e7006926-08fa-482a-b112-60515a1e6ef7,None,08473132-9181-44fe-8412-4d89e5dd27e4,GEOMETRYCOLLECTION (POINT (81.59028895795012 28.59632800798803)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e1358310-89ff-4c92-a28f-0973418de194,None,09670bee-ec13-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32783199855328 27.66837952812277)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
2eb77f59-a82a-4994-a560-25b8be1ad78d,None,099d312a-d5a9-40b1-9144-91b28545912d,GEOMETRYCOLLECTION (POINT (81.63331722333913 29.25526452409989)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
19e509ef-463d-40af-83e9-25107e58842d,None,09adaf39-4932-4356-b6d1-3cce3af16e82,GEOMETRYCOLLECTION (POINT (81.72331351288352 28.8617653718008)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
dd99314f-2946-44ef-a5fa-a69877f2ca1c,None,09cff614-e084-49eb-9fd7-7e4eb20cd37d,GEOMETRYCOLLECTION (POINT (85.2464892725551 27.69340889449975)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
abdaa17c-32e7-4ebf-ba93-a402cf72db69,None,0a5850e6-17f9-11ea-b9b1-0242ac130002,GEOMETRYCOLLECTION (POINT (85.30224969183678 27.6298119240029)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
72e412c4-7292-4c2d-b8fa-7d5b81beaec6,None,0aa65aef-7a50-4942-9e17-f6e077dbb14a,GEOMETRYCOLLECTION (POINT (82.15697340946599 29.54755680961929)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
32b9138d-a7bf-4249-b14c-82882fedf6d9,None,0b26d633-56f8-4872-859c-76d7f7c0677d,GEOMETRYCOLLECTION (POINT (85.32303978512266 27.67658693100284)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
ea34cb10-d5b9-483a-a126-84fbcf5a50b9,None,0b6871b6-44e1-45f4-9074-005d6e68a28e,GEOMETRYCOLLECTION (POINT (85.2765265212156 27.6792129321676)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
fea87644-f151-4420-83da-98ce90ebddc7,None,0b875a50-e754-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32717898533997 27.67463430074534)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
2f0b6f98-f856-4127-bf86-434f5025c3f3,None,0bb01539-043b-4538-a59f-132ef7bd578d,GEOMETRYCOLLECTION (POINT (81.58503760023058 28.63410885824557)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d8256f9f-16e5-43f4-934a-04b3c564bd07,None,0be328fe-020b-11ea-a389-0242ac130002,GEOMETRYCOLLECTION (POINT (85.31777995804873 27.63276123508521)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
57aa1400-ff5f-4e05-85d0-a3bab6d12d65,None,0c6b269c-e676-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32526640722847 27.67376647250168)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
56d981ad-c3c6-4935-b049-93a9a4dd99eb,None,0cb251ee-3005-42d3-bc37-fe6cfbb30747,GEOMETRYCOLLECTION (POINT (85.27742666220996 27.67890660345071)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
