tileid,parenttile_id,resourceinstance_id,Identification Number,Identifier Type,sortorder,provisionaledits,nodegroup_id
db342166-c743-42ce-b559-f7362abb4f07,None,00fd72ab-5246-418e-b001-825a2f227a57,LAL4318,,0,,28294108-9323-11e9-bf23-0242ac120006
2a9ed993-a3ad-463f-a153-cc60b660410f,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,KIR0013,,0,,28294108-9323-11e9-bf23-0242ac120006
70088029-0181-4ba0-9416-f2afb4ef01b8,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,LAL1870,,0,,28294108-9323-11e9-bf23-0242ac120006
fe15bbf0-bcb9-47f4-8769-ec42bdad424d,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,P-250,,0,,28294108-9323-11e9-bf23-0242ac120006
2eaac2f8-1bbc-4b09-bdc3-0e06e05e1bce,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,LAL2500,,0,,28294108-9323-11e9-bf23-0242ac120006
4abb9d10-a1fc-4888-9a02-b86426f00e54,None,01de2008-1b9b-41d9-821a-b1eb6693db80,LAL4128,,0,,28294108-9323-11e9-bf23-0242ac120006
f8e9e11d-628b-4658-ae9b-9de6c6cdb9ad,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,KAT0820,,0,,28294108-9323-11e9-bf23-0242ac120006
33a465a1-7569-44c8-bf5d-fe9295708699,None,02509f50-336d-423f-ac40-60dffc2d905c,LAL1880,,0,,28294108-9323-11e9-bf23-0242ac120006
97bd2fce-a952-441d-ad88-66d284c96189,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,LAL1420,,0,,28294108-9323-11e9-bf23-0242ac120006
f556fd38-49db-4dee-8cf7-c49086924982,None,03ab0902-61c8-4458-8eee-f23e345d9372,LAL4127,,0,,28294108-9323-11e9-bf23-0242ac120006
054d3d84-4a14-4aaa-bea8-f3a526dfbdcd,None,049dc399-08e2-47c4-85b9-e66851694e69,LAL2400,,0,,28294108-9323-11e9-bf23-0242ac120006
92c09d72-2f06-4abe-8253-17add981804f,None,049dc399-08e2-47c4-85b9-e66851694e69,P-240,,0,,28294108-9323-11e9-bf23-0242ac120006
780876dc-a5aa-4da4-9d74-be4fd16d9a92,None,04e62546-0b04-41d7-9651-12189c45e5c6,LAL1090,,0,,28294108-9323-11e9-bf23-0242ac120006
55a194d8-231e-4d56-9af9-06d7dddafd54,None,054498ec-d633-11e9-beea-0242ac140006,LAL1100,DANAM,0,,28294108-9323-11e9-bf23-0242ac120006
b0389a8c-3605-4b6e-b8e8-526cae88b2c5,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,LAL0910,,0,,28294108-9323-11e9-bf23-0242ac120006
460f980e-7816-4c55-81ea-0a5d4c3e1963,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,LAL4054,,0,,28294108-9323-11e9-bf23-0242ac120006
381588a1-89dd-449a-9079-12a518b0b546,None,068cb560-e748-11e9-b125-0242ac130002,LAL0901,,0,,28294108-9323-11e9-bf23-0242ac120006
5ae9c1d6-beda-4c08-a132-fc8a4ae8a0b6,None,06a4360c-e5ec-11e9-b125-0242ac130002,LAL4076,,0,,28294108-9323-11e9-bf23-0242ac120006
b8b30e52-7c9f-4b3e-8f96-772626e5f471,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,KAT0920 ,,0,,28294108-9323-11e9-bf23-0242ac120006
5c18ee2b-5fab-4591-a405-86113930c2f9,None,0706813a-e81d-11e9-8bc4-0242ac130002,LAL4146,,0,,28294108-9323-11e9-bf23-0242ac120006
a9a132fe-31f7-46bb-8197-0d01c45a0abd,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,LAL0260,,0,,28294108-9323-11e9-bf23-0242ac120006
ab95bd2a-7979-4c34-996b-0fe8b9d5658a,None,08473132-9181-44fe-8412-4d89e5dd27e4,SRK0041,,0,,28294108-9323-11e9-bf23-0242ac120006
d7c634ad-6c5a-43a7-a571-0433a787ff25,None,09670bee-ec13-11e9-b125-0242ac130002,LAL2280,,0,,28294108-9323-11e9-bf23-0242ac120006
1f7b20dd-82d1-472f-b65a-b1be9c353541,None,099d312a-d5a9-40b1-9144-91b28545912d,KLK0180,,0,,28294108-9323-11e9-bf23-0242ac120006
c94da37c-885a-4088-bb4b-8e6b94daecf0,None,09adaf39-4932-4356-b6d1-3cce3af16e82,DLK0011,,0,,28294108-9323-11e9-bf23-0242ac120006
154c7dd8-93f6-46db-8f11-4183f1520c13,None,09cff614-e084-49eb-9fd7-7e4eb20cd37d,BAL0006,,0,,28294108-9323-11e9-bf23-0242ac120006
c78f4a60-1a8a-4e80-8318-08cc9e3e7e64,None,0a5850e6-17f9-11ea-b9b1-0242ac130002,BUN0007,,0,,28294108-9323-11e9-bf23-0242ac120006
402148c5-8012-4106-8743-bb82ca2fb694,None,0aa65aef-7a50-4942-9e17-f6e077dbb14a,MUG0010,,0,,28294108-9323-11e9-bf23-0242ac120006
575946ea-06bf-4551-9b98-80b4b6e94674,None,0b26d633-56f8-4872-859c-76d7f7c0677d,LAL0861,,0,,28294108-9323-11e9-bf23-0242ac120006
d2491062-b1ac-4c06-bc76-c4f4bb66e19b,None,0b6871b6-44e1-45f4-9074-005d6e68a28e,KIR4021,,0,,28294108-9323-11e9-bf23-0242ac120006
304af648-65b7-490e-8e1e-2c36da1ae29b,None,0b875a50-e754-11e9-b125-0242ac130002,LAL1700,,0,,28294108-9323-11e9-bf23-0242ac120006
c94a5507-f692-4f68-ab10-f4cb0c17d50b,None,0bb01539-043b-4538-a59f-132ef7bd578d,SRK0070,,0,,28294108-9323-11e9-bf23-0242ac120006
ef903bd5-9410-4bc4-b973-0e9c77219ed2,None,0be328fe-020b-11ea-a389-0242ac130002,SUN4011,,0,,28294108-9323-11e9-bf23-0242ac120006
69b01547-d390-4788-8279-1a68b38b9c65,None,0c6b269c-e676-11e9-8bc4-0242ac130002,LAL1361,,0,,28294108-9323-11e9-bf23-0242ac120006
6f6e33ac-234c-4a62-aac0-f33151f3fb24,None,0cb251ee-3005-42d3-bc37-fe6cfbb30747,KIR0072,,0,,28294108-9323-11e9-bf23-0242ac120006
2a41b8b4-3c4c-4518-8ce7-291a5cfe7cc7,None,0cbfabb8-e699-11e9-b125-0242ac130002,LAL0140,,0,,28294108-9323-11e9-bf23-0242ac120006
30f2b175-5f99-4039-a7bc-68850f5d2c2e,None,0d3c9626-fa37-11e9-8649-0242ac130002,LAL4208,,0,,28294108-9323-11e9-bf23-0242ac120006
fcefb6dc-73e9-4402-ac43-331dbee01cb1,None,0d480c66-3e6d-11ea-b44d-0242ac130006,LAL0570,,0,,28294108-9323-11e9-bf23-0242ac120006
8058ae1c-b35b-4f76-8073-64d3e52ba77c,None,0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,LAL4313,,0,,28294108-9323-11e9-bf23-0242ac120006
a48df405-b81f-4e54-aaa6-61368c2153e3,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,KAT1230 ,,0,,28294108-9323-11e9-bf23-0242ac120006
a2d86721-c46f-41f0-a5c1-b65819464089,None,109ab54a-e9a3-11e9-8bc4-0242ac130002,LAL4005,,0,,28294108-9323-11e9-bf23-0242ac120006
99534ba9-c579-4cbf-a4fc-9be2d8f17979,None,10afc076-5274-4ad9-9023-94b8c25893aa,KAT2610,,0,,28294108-9323-11e9-bf23-0242ac120006
9bc2fcd2-06f4-4722-9445-d4b9f9a88315,None,1165bb2e-eb1e-11e9-8bc4-0242ac130002,DANAM LAL4300,,0,,28294108-9323-11e9-bf23-0242ac120006
