tileid,parenttile_id,resourceinstance_id,District,Municipality / Village Council,Province Number,Monument area ,Focus area,City Quarter (Tol),sortorder,provisionaledits,nodegroup_id
ab7d2aa1-32f4-499f-b90b-dc335f1ce792,None,00fd72ab-5246-418e-b001-825a2f227a57,Lalitpur,Lalitpur Metropolitan City,3,,,Kulima,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
6fdca262-0100-47b3-bb57-fe64b0c00fc0,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,Kathmandu,Kirtipur ,3,,,Mātakhyaḥ ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ed8f8a82-af55-49b5-915b-3da140c3a686,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Lalitpur,Lalitpur,3,,,Cālāchẽ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
d3baa3b4-8b32-485a-a4ba-ff009203e338,None,01de2008-1b9b-41d9-821a-b1eb6693db80,Lalitpur,Lalitpur Metropolitan City,3,,,Lvahãlã,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
9a0a718d-b5aa-428a-8213-ee5d12a701ed,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Kathmandu,Kathmandu Metropolitan City,3,,,Hyūmata,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
623f894a-b4a2-4e4b-9a9f-452acbe6eba8,None,02509f50-336d-423f-ac40-60dffc2d905c,Lalitpur,Lalitpur,3,,,Nugaḥ (Sundhārā),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
885db7b9-63dd-462c-94e7-4c6901a05d46,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,None,Kulimā,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
8259795a-4ac4-4a5e-9590-edfbbf16ad60,None,03ab0902-61c8-4458-8eee-f23e345d9372,Lalitpur,Lalitpur Metropolitan City,3,,,Neuta,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
edc5513d-2b1d-434c-a467-48fdb29b5ccc,None,049dc399-08e2-47c4-85b9-e66851694e69,Lalitpur,Lalitpur,3,,,Jyāthā,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
fb8797ba-174d-4b28-9072-e64434565176,None,04e62546-0b04-41d7-9651-12189c45e5c6,Lalitpur,Lalitpur,3,,Patan,Ilānani,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
24f6f6a2-41d0-4d28-a57e-8d12de02ff22,None,054498ec-d633-11e9-beea-0242ac140006,Lalitpur,Lalitpur,3,,,Ilā Nani,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
40ced29f-6042-4421-aaa9-8c05d033bddf,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
f408db3d-2876-434e-ba66-e965b0d0f1c0,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,Lalitpur,Laslitpur,3,,,Nugaḥ Ṭola,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
f3c3b129-b955-41d7-9e5e-a2fef336bbb0,None,068cb560-e748-11e9-b125-0242ac130002,Lalitpur,Lalitpur ,3,,,"Thyākā, Nakabahī",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
940983e0-08f1-436b-9a52-be0865bd3c74,None,06a4360c-e5ec-11e9-b125-0242ac130002,Lalitpur,Lalitpur Municipality,3,,"Dupāt ṭola, Pāṭana",Dupat Ward No. 7,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
d2115ca2-c169-41ac-93b5-2cf990dda281,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Kathmandu,Kathmandu Metropolitan City,3,,,Bhindyaḥtvāḥ (Bhimsensthan),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
023f5d56-6fe9-46b0-83fb-d3fb485a3284,None,0706813a-e81d-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,Bhelāchẽ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
58256301-1eea-4afe-995a-196b85090e3e,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,Lalitpur,Lalitpur,3,,,Jena Bāhāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
0f258225-5c67-4122-bdf6-286409eafbc5,None,08473132-9181-44fe-8412-4d89e5dd27e4,Surkhet,Birendranagar,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
5012ca83-5d2d-4a29-9ecb-ea040c83ffdc,None,09670bee-ec13-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,,,Oku Bāhāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
fa212c74-ba30-4071-9309-b519c949d672,None,099d312a-d5a9-40b1-9144-91b28545912d,Kalikot,Sanni Tribeni,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
8b8f8101-f0b6-4b2d-8b82-e4a824254f33,None,09adaf39-4932-4356-b6d1-3cce3af16e82,Dailekh,Narayan,6,,"<p>Bhurtī Temple Complex</p>
",,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
2f17ea81-0c5f-4a06-87e9-07ba77b5fb15,None,09cff614-e084-49eb-9fd7-7e4eb20cd37d,Kathmandu,Chandragiri,3,,,Balambu,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ed79698f-73de-4145-a4c4-c95a36d2e7c0,None,0a5850e6-17f9-11ea-b9b1-0242ac130002,Lalitpur,Lalitpur,3,,Bungamatī,"Macchindrabāhāḥ, Deula",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
5ba2676e-6d5c-4632-883a-8066fffb59a6,None,0aa65aef-7a50-4942-9e17-f6e077dbb14a,Mugu,Chhayanath Rara,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
e3cc8143-3ed1-49e1-a9ef-e8eb3bd409d5,None,0b26d633-56f8-4872-859c-76d7f7c0677d,Lalitpur,Lalitpur,3,,,Nyākhā Cuka (Nyakhachowk),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
2b3bc47d-6b95-4c1c-9db3-0565cf95170b,None,0b6871b6-44e1-45f4-9074-005d6e68a28e,Kathmandu,Kirtipur,3,,,Ārīthāy,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
60f21b6c-a4a7-446e-a3d4-a4d7c550b87c,None,0b875a50-e754-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,Cyāsal,,"Cvachẽ, Cyāsa",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ff90c88e-3f1b-4975-b9a2-e8b0ebcd8f3c,None,0bb01539-043b-4538-a59f-132ef7bd578d,Surkhet,Birendranagar,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
938a34b6-dcdd-4ecc-ad29-c8cbc278fe87,None,0be328fe-020b-11ea-a389-0242ac130002,Lalitpur,Lalitpur Municipality,3,,Sunāghuthi,Dampāchẽ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
261de48a-6b9b-45a7-9b25-8d99249cf5eb,None,0c6b269c-e676-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,Patan Darbar Square,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
a6a771c9-5f0d-4808-a404-5afe0fbe4b4b,None,0cb251ee-3005-42d3-bc37-fe6cfbb30747,Kathmandu,Kirtipur ,3,,,Ichẽ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
a3ee71c5-2f34-4588-80d8-d05f04dd7782,None,0cbfabb8-e699-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
983ebfe2-706f-4292-b631-11133a2ab89e,None,0d3c9626-fa37-11e9-8649-0242ac130002,Lalitpur,Lalitpur,3,,,"Naka Bahī Ṭola, Patan ",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
af7d406e-c8d6-4bf7-8c2f-a93e6be5d254,None,0d480c66-3e6d-11ea-b44d-0242ac130006,Lalitpur,Lalitpur,3,,,Pulcoka,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
31117840-06d1-482d-913e-916b9429778a,None,0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,Lalitpur,Lalitpur Metropolitan City,3,,"<p>Jawalakhel</p>
",Themākhyaḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
eb968aab-0e82-4b6f-bd41-3224e1bc16a7,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,Kathmandu,Kathmandu Metropolitan City,3,,,Ituṃ Bāhāḥ (Itumbahal),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
c17e25c2-f41c-4b33-8e32-c405a45c53d5,None,109ab54a-e9a3-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,Pinchẽ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
f4479336-07c3-459a-97c1-a23390f80eed,None,10afc076-5274-4ad9-9023-94b8c25893aa,Kathmandu,Kathmandu Metropolitan City,3,,,Ṭeku Dobhāna,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ca992b8d-cf82-4eb3-bb47-50192e34a6d9,None,1165bb2e-eb1e-11e9-8bc4-0242ac130002,Lalitpur,,3,,Lalitpur,"    Lagankhel, Patan",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
d5c34a67-a1f0-44bd-8888-26a0cad5dca5,None,1176053e-eb54-11e9-8bc4-0242ac130002,Lalitpur,,3,,,"Bhindyaḥ Lāchi, Cyāsal",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
541dfbe3-97bb-48cc-8b04-9d05fa0c8647,None,1279d314-220a-4acb-9622-67d050fc75db,Dailekh,Narayan,6,,"<p>Bhurtī Temple Complex</p>
",,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
09955a85-016b-467e-bbe3-f2017245ee95,None,12c555ec-ea9c-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,Pulchok,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
06eddd86-f85c-488a-8447-59e7fc21e3b5,None,12d828f2-e4f7-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,,,Olā Ṭola,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
04e6f552-fa2b-4812-8dfa-e0231d5e5883,None,12e25456-4bce-11ea-91df-0242ac130006,Lalitpur,Lalitpur,3,,,Pulcoka,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ebad7394-440a-43b8-9068-15a9a845de2f,None,12f3faf5-d915-4a52-a73d-f19bd71e411a,Kathmandu,Kirtipur,3,,,Sāymītvāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
0007598c-d681-46cd-8b8c-5635378546b4,None,138e0452-8e6c-4b68-8410-b5263da353a8,Surkhet,Birendranagar,6,,,Lāṭīkoilī,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
d884a3b3-645b-4ec1-befb-f30f4ba4269b,None,1394f154-e70c-4fba-94b6-ef62156047ab,Lalitpur,Lalitpur ,3,,Patan,Patako ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
cc9a157a-e0e5-4110-a4e7-befedce22703,None,13b0e238-70ba-11ea-b99f-0242ac130006,Lalitpur,Lalitpur,,,,Thasikhyaḥ (Thasikhel),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
b0a2a1b3-225c-46b9-b1e7-1b99906fd055,None,13b406e0-8594-4cf7-8592-4e7d82bb4ce6,Kathmandu,Kirtipur,3,,,Siṃhadvāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
218c5f5b-d664-437a-8cc0-8d22cbf18305,None,1414a11c-d6a1-46df-9667-8793239be9dd,Kalikot,Raskot,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
b94759b1-9698-4e9b-8881-d5e5e78539c4,None,141efef8-74ca-11ea-b4b6-0242ac130006,Lalitpur,Lalitpur,3,,,Tāpāhiti,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
035a4b84-f838-4f4f-89c8-bec69c680a6c,None,143332de-342b-4f52-92ac-dd1b5accd1ea,Dailekh,Narayan,6,,,,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
009043c6-508e-46aa-8ae9-16a9d3cff18a,None,143b3eaf-9561-4dbe-8f57-5b84756b8865,Kathmandu,Kathmandu,3,,,Yatkhā ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
df7ebdc3-8403-41ac-ab16-f221637649c1,None,147f9da8-5a54-438d-b51e-1d473f23b374,Bhaktapur,Bhaktapur Municipality,3,,"<p>Bhaktapur Darbar Square area<br />
&nbsp;</p>
",Sakothā Ṭola,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
9bebbb50-bd1d-41c8-8189-24a845a98585,None,14b65b9e-1869-4c2a-b0d4-d013efe48da0,Lalitpur,Lalitpur Metropolitan City,3,,,Lũkhusi,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
02ab6f87-b69a-4e75-b364-f8b72f7b2e97,None,14cbeef4-f646-11e9-a3c8-0242ac130002,Lalitpur,Lalitpur ,3,,,Iti Ṭola,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
9c6afe41-6469-41ec-9b80-51d36a0f4098,None,15217304-e6a8-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,"Mangal Bazar, Patan Darbar Square",,Mangal Bazar,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
7baf606f-33a5-4f8b-afd5-b68e65ca3efa,None,154297b7-c1ca-4eca-813e-774c28a7f805,Kathmandu,Chandragiri,3,,,"Balambu, Lāchi Ṭola",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
ae1f134b-4b97-4e15-9667-97468550dead,None,15613d2a-e91b-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,,None,Olakhu,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
803f45c4-4a94-4724-92e3-5e9ebb4b0aba,None,15a0ed8d-f812-482f-98fc-a61b6704b12f,Lalitpur,Lalitpur Metropolitan City,3,,,"Pvaḥtvāḥ, Konti (Imūkhel)",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
a4674655-8dd8-48ad-ad4c-8d8375bae1c8,None,15acbf64-e9a4-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,,,Dau Bāhāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
75bd88bf-d054-482d-b069-c22c50a8fecd,None,15d6cfa0-0cb8-4616-8eed-9219ddbb76e3,Lalitpur,Lalitpur Metropolitan City,3,,,Nugaḥ  (Sundhārā),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
75d2debe-46d4-42a4-9605-ede755bc83d7,None,160dcc4f-6d81-421d-9eda-0fb8d248513c,Lalitpur,Lalitpur Metropolitan City,3,,,"Pvaḥtvāḥ, Konti (Imūkhel)",0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
04f820ef-c730-4f4d-b480-684c57b75327,None,16f8b0dc-e9b1-11e9-8bc4-0242ac130002,Lalitpur,Lalitpur,3,"Mangal Bazar, Patan Darbar Square",,Mangal Bazār,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
e1bfd0e9-fff5-4a89-9256-509f13524edf,None,170a68d0-e68d-11e9-b125-0242ac130002,Lalitpur,Lalitpur,3,,,Cāka Bāhāḥ,0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
d8a1e480-6327-4b94-a4ba-49108bad556a,None,1724e57b-b911-48c1-ab87-68c43a852a64,Lalitpur,Lalitpur,3,,,Nugaḥ (Sundhārā),0,,61ef0ffc-9ef5-11e9-8d7d-0242ac120006
