tileid,parenttile_id,resourceinstance_id,mapsanddrawingscaption,mapsanddrawingtype,mapsanddrawingfile,mapsanddrawingsdescription,sortorder,provisionaledits,nodegroup_id
a3f3b233-4013-4b89-a10e-ef71476572ba,None,00fd72ab-5246-418e-b001-825a2f227a57,"<p>Pākaḥ Phalcā; location map by Niels Gutschow, Bijay Basukala; 1990; updated by Bibek Basukala, 2021-08-11</p>
",Location map,/files/uploadedfiles/LAL4318_D_2021 location map.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
e6462f6e-44cd-48e4-8933-9d9e8c19bf29,None,00fd72ab-5246-418e-b001-825a2f227a57,"<p>Pākaḥ Phalcā; site plan by Bijay Basukala; 2021-08-11</p>
",Site plan,/files/uploadedfiles/LAL4318_D_2021 site plan.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
0b9c08a2-388f-4e8d-8a1f-cff3e45f5ac0,None,00fd72ab-5246-418e-b001-825a2f227a57,"<p>Pākaḥ Phalcā; floor plan by Bijay Basukala; 2021-08-11</p>
",Floor plan,/files/uploadedfiles/LAL4318_D_2021 floor plan.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
21a9925b-126b-42d7-9aa8-4b5f0d3c9d50,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>Mātakhyaḥ Śikharakūṭa Caitya; top view by&nbsp; Anil&nbsp;Basukala;&nbsp;2021-08-09</p>
",Floor plan,/files/uploadedfiles/KIR0013_D_ 2021 top view.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
c65b3a50-e828-4c8c-8e66-ec2a81d37178,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>Mātakhyaḥ Śikharakūṭa Caitya; location map by Reinhard Herdick; 1986; updated by Anil&nbsp;Basukala, 2021-08-09</p>
",Location map,/files/uploadedfiles/KIR0013_D_ 2021 location map.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
f4eab456-c01d-4cc1-9d3d-5cef5ee2766f,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>Mātakhyaḥ Śikharakūṭa Caitya; site plan by&nbsp; Anil&nbsp;Basukala;&nbsp;2021-08-09</p>
",Site plan,/files/uploadedfiles/KIR0013_D_ 2021 site plan.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
a1feb159-8a5d-4e60-928c-3101a9c43586,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p>Mātakhyaḥ Śikharakūṭa Caitya; e-w section by Anil Basukala; 2021-08-09</p>
",Section,/files/uploadedfiles/KIR0013_D_ 2021 E-W section.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
80ad36ca-3cb0-4a66-9b98-f739de5df547,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,"<p>Umāmaheśvara Mandira, location map by Niels Gutschow, Bijay Basukala; 1990; updated by Thomas Schrom, 2020-11-29</p>
",Location map,/files/uploadedfiles/LAL1870_D_2020 location map.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
efaae758-f7e6-4ce2-9468-5dff5da7be98,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,"<p>Nārāyaṇa Mandira; floor plan&nbsp;by Bijay Basukala;&nbsp;2021-07-21</p>
",Floor plan,/files/uploadedfiles/LAL2500_D_ 2021 floor plan.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
157e4393-6db2-4db2-9d09-c6edc1f9a512,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,"<p>Nārāyaṇa Mandira; site plan&nbsp;by Anil Basukala;&nbsp;2021-07-21</p>
",Site plan,/files/uploadedfiles/LAL2500_D_ 2021 site plan.png,,0,,0266cd06-9ee9-11e9-98a0-0242ac120006
