tileid,parenttile_id,resourceinstance_id,Imagebefore2015,imagebefore2015caption,imagebefore2015description,sortorder,provisionaledits,nodegroup_id
76525080-5b51-4da0-bbed-73141ed837cd,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,/files/uploadedfiles/LAL1870_H_1973 Pruscha.jpg,"<p>Umāmaheśvara Mandira, view from NW; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source:&nbsp;<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/pruscha/titleCreatorYear/items/Q528C497/item-list""><strong>Carl Pruscha</strong></a>,&nbsp;<em>Kathmandu Valley</em>, 1975, vol. II, p. 181 (P-187)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
a9a6b186-10ad-4d49-907e-7e0a735e5ba4,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_H_ca.19740000.jpg,"<p>Nārāyaṇa Mandira, view from W; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/prusch/titleCreatorYear/items/Q528C497/item-list"" target=""_blank""><strong>Carl Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p. 197 (P-250)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
ec9153f1-c114-49de-b380-d15b3c1c6a33,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,/files/uploadedfiles/KAT0820_H_ca.19740000.jpg,"<p>Tukaṃ Bāhāḥ, view from NE; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/pruscha/titleCreatorYear/items/Q528C497/item-list"" target=""_blank""><strong>Carl Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p. 33 (K-82)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
74f38236-45e6-4f1f-b1ec-cebf966c4193,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,/files/uploadedfiles/KAT0820_H_ca.19840000.jpg,"<p>Tukaṃ Bāhāḥ Caitya, view from NE; photo by Hugh R. Downs; 1970-84; courtesy of John Locke; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>John Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 348</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
54c430d0-9ce4-405c-bf7d-4b3c04fa0a1c,None,02509f50-336d-423f-ac40-60dffc2d905c,/files/uploadedfiles/LAL1880 Locke.jpg,"<p>Bhindyaḥ Bāhāḥ, historical image, view from NE; photo by Hugh R. Downs; ca. 1970-1985; free access &ndash; no reuse; source: John <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 88</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
b49e1cf6-647a-4763-8fc7-f0750cdc4cb4,None,02509f50-336d-423f-ac40-60dffc2d905c,/files/uploadedfiles/LAL1880 inv img.jpg,"<p>Bhindyaḥ Bāhāḥ, historical image, view from E; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: Carl <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/pruscha/titleCreatorYear/items/Q528C497/item-list"" target=""_blank""><strong>Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p 182 (P-188)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
1f014b3f-6d98-4397-85f6-9ae5a9dee49b,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,/files/uploadedfiles/LAL1420_H_2011.jpg,"<p>Nārāyaṇa Mandira at Kulimā, West (photo by Niels Gutschow, 1992)</p>
","<p>Source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SSJP3PFI/q/gutschow"" target=""_blank""><strong>Gutschow</strong></a> 2011, 447</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
225238cc-695e-4fe4-ad7d-b056de584b09,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,/files/uploadedfiles/LAL1420_H_1998 KVPT.jpg,"<p>Nārāyaṇa Mandira&nbsp;&nbsp;at Kulimā, existing condition in November 1996 (courtesy of Kathmandu valley Preservation Trust (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SIP6SKAJ/q/KVPT"" target=""_blank""><strong>KVPT</strong></a>), 1998)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
c0f3f650-8a95-41a8-82f5-bfef81a84871,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,/files/uploadedfiles/LAL1420_H_1975.jpg,"<p>Nārāyaṇa Mandira at Kulimā, historical image (photo by Carl Pruscha, ca. 1974)</p>
","<p>Source <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/Q528C497"" target=""_blank""><strong>Pruscha</strong></a> 1975, vol. 2, p. 168 (P-142)</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
ae2ab7d6-2cce-49fa-b0ec-dac7c2d0a2a4,None,049dc399-08e2-47c4-85b9-e66851694e69,/files/uploadedfiles/LAL2400_H_ca.19840000_01.jpg,"<p>Basu Bāhāḥ, view from NW; photo by Hugh R. Downs; 1970-84; courtesy of John Locke; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>John Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 109</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
