tileid,parenttile_id,resourceinstance_id,Anglicized name,Name in Roman (with diacritical marks),Alternative name(s),Name in Devanagari,sortorder,provisionaledits,nodegroup_id
66d66815-6e17-4811-b8b5-64f48049748f,None,00fd72ab-5246-418e-b001-825a2f227a57,Pakah Phalcha,Pākaḥ Phalcā,,पाकः फल्चा ।। LAL4318,0,,27b6916c-9323-11e9-a015-0242ac120006
691dae6f-1a43-42e3-ac5c-39e132986fc4,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,Matakhya Sikharakut Chaitya ,Mātakhyaḥ Śikharakūṭa Caitya (probably built in 1746 CE),"<p>Śikharakūṭa Chaitya (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/2S8K64WV"" target=""_blank""><strong>Shokoohy and others</strong></a>&nbsp;2014, 353)</p>

<p>Mārūkhya Caitya (<a href=""http://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/84R233N4/q/sukra""><strong>Ś. Śre</strong><strong>ṣṭ</strong><strong>ha</strong></a>&nbsp;VS 2057, p. 77)</p>
", मातख्य: शिखरकूट चैत्य ll KIR0013 ,0,,27b6916c-9323-11e9-a015-0242ac120006
10d6c941-17b8-4555-80e7-5f4c6a58b35e,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,,Umāmaheśvara Mandira,,उमामहेश्वर मन्दिर ।। LAL1870,0,,27b6916c-9323-11e9-a015-0242ac120006
3b4c4745-8a16-458e-a707-f7095c9f4909,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Narayan Mandir,Nārāyaṇa Mandira (believed to built during the Licchavi Period),,नारायण मन्दिर ।। LAL2500,0,,27b6916c-9323-11e9-a015-0242ac120006
fa58b55c-4fa1-4b2c-930e-46f9ccee4014,None,01de2008-1b9b-41d9-821a-b1eb6693db80,Lavahala Phalcha,Lvahãlã Phalcā (1795 CE),,ल्वहंलँ फल्चा || LAL4128,0,,27b6916c-9323-11e9-a015-0242ac120006
1f5f78c1-31e4-4b3a-a3ba-79417115086d,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Tukam Bahah,Tukaṃ Bāhāḥ Caitya (built sometime from 3rd-9th cent.),"<p>Ratnākara Vihāra (Sanskrit name)</p>

<p>Toya kanaka Bāhāḥ (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/N28GMP3U/library"" target=""_blank""><strong>R. Vajrācārya</strong></a> 1103, 30)</p>

<p>Tokaṃ Bāhāla (Inscription from NS 988)</p>

<p>Ṭokaṃ Bāhāla (Inscription from VS 2020)</p>
",तुकं बाहाः चैत्य ।। KAT0820,0,,27b6916c-9323-11e9-a015-0242ac120006
6f49a627-9819-4cec-9877-428875c219e9,None,02509f50-336d-423f-ac40-60dffc2d905c,Bhindya Baha,Bhindyaḥ Bāhāḥ (constructed in 1715 CE),"<p>Hendupati Vihāra</p>
",भिन्द्यः बाहाः || LAL1880,0,,27b6916c-9323-11e9-a015-0242ac120006
ca21c919-1406-421d-98a2-faf09afd1568,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Narayan,Nārāyaṇa Mandira at Kulimā (ca. 19th century CE),<p>Śrīdhara Viṣṇu</p>,नारायण मन्दिर || LAL1420,0,,27b6916c-9323-11e9-a015-0242ac120006
03af5263-0e4a-46ca-8f0d-de55b6a74b57,None,03ab0902-61c8-4458-8eee-f23e345d9372,Neuta Phalcha,Neuta Phalcā,,नेउत फल्चा ll LAL4127,0,,27b6916c-9323-11e9-a015-0242ac120006
5a4f5ea2-b967-4e49-ba50-f9681995a0c1,None,0426294d-ffe2-4142-b167-1e17296e6a21,,Hariśaṅkara Mandira,,BKT0061,0,,27b6916c-9323-11e9-a015-0242ac120006
d60eabba-7e0c-4590-9c6e-d09bdc83340b,None,049dc399-08e2-47c4-85b9-e66851694e69,Vasu Baha,Vasu Bāhāḥ (built around 1938 CE),"<p>Vasuvarṇa Vihāra (Sanskrit name)</p>
",वसु बाहा: ।। LAL2400,0,,27b6916c-9323-11e9-a015-0242ac120006
4f366bd3-226b-4f93-9f48-dc36f4e11e40,None,04e62546-0b04-41d7-9651-12189c45e5c6,Sankata Ilanani,Saṅkaṭā Ilānani,"<p>Caṇḍamahāroṣaṇa Shrine (<strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/TJX3TK6V/q/Gellner"" target=""_blank"">Gellner</a> </strong>1992, 136-37)</p>

<p>Digi (signboard, attached on the monument)</p>

<p>Cakrasamvara Shrine (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/B7F5AW9J"" target=""_blank""><strong>M.B. Śākya</strong></a> 2004, 28)</p>

<p>Guhyatale (inscription from NS 1070)</p>

<p>Guhyatale Digi Devālaya (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong> </a>VS 2059, 29)</p>

<p>Digi Āgamagṛha (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong> </a>VS 2059, 32)</p>

<p>&nbsp;</p>
",संङ्कटा इलाननि ।। LAL1090,0,,27b6916c-9323-11e9-a015-0242ac120006
3c8d565a-5507-483f-b631-8f1bc342609f,None,054498ec-d633-11e9-beea-0242ac140006,Micchu Baha,Micchu Bāhāḥ  (built before 1661 CE) ,"<p>Bhikṣu Vihāra (cf. <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/IWXSWRPQ/q/sinclair"" target=""_blank""><strong>Sinclair </strong></a>2010, 40), Caityavarṇa Vihāra</p>
",मिच्छु बाहाः |*| LAL1100,0,,27b6916c-9323-11e9-a015-0242ac120006
944f1c9f-af7c-4771-8668-d85b06dc7516,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Nrityesvara,Nṛtyeśvara Mandira (1829 CE),"<p>Nṛtyanātha, Nrīteśvara</p>
",नृत्येश्वर || LAL0910,0,,27b6916c-9323-11e9-a015-0242ac120006
5f884221-7065-4519-99b4-802ffb113917,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,Nuga Phalca,Nugaḥ Phalcā 3,"<p>Mandaḥ Phalcā</p>
",नुगः फल्चा ३ || LAL4045,0,,27b6916c-9323-11e9-a015-0242ac120006
c60307fa-6cd2-40fd-82c4-c87514e1e3ca,None,068cb560-e748-11e9-b125-0242ac130002,Thyaka Baha,Thyākā Bāhāḥ (1895 CE),"<p>Ratnajyoti Vihāra</p>
",थ्याका बाहाः || LAL0901,0,,27b6916c-9323-11e9-a015-0242ac120006
b9ff4eee-ff6a-4ffd-875f-d09170666ac2,None,06a4360c-e5ec-11e9-b125-0242ac130002,Dupat Chapa,Dupāt Capāḥ (1670 CE),"<p>Sanāḥ Guṭhiīchẽ, Capāra (as mentioned in inscriptions)</p>
",दुपाः चपाः || LAL4076,0,,27b6916c-9323-11e9-a015-0242ac120006
c8fb7527-af99-4589-ae4c-4e284df48cd2,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Bhimsen Mandir,Bhīmasena Mandira (built in 1564 CE),"<p>Bhindyaḥ Degaḥ (vernacular)</p>
",भीमसेन मन्दिर || KAT0920 ,0,,27b6916c-9323-11e9-a015-0242ac120006
4c2a94dd-aa5f-4308-9121-c99ffae1d0fa,None,0706813a-e81d-11e9-8bc4-0242ac130002,Bhelachhen Phalcha,Bhelāchẽ Phalcā (1823 CE),"<p>Bhairava Phalcā</p>
",भेलाछेँ फल्चा || LAL4146,0,,27b6916c-9323-11e9-a015-0242ac120006
ab2eac2e-5846-42d7-afd2-2ab3c0f59634,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,Jena Baha,Jena Bāhāḥ (ca. 15th cent. CE),"<p>Śrī Jñāna Nāma Vihāra&nbsp;</p>

<p>Jyena Bāhāh (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/Locke"" target=""_blank""><strong>Locke</strong></a> 1985, 152)&nbsp;</p>

<p>Jina Baha (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/Pruscha"" target=""_blank""><strong>Pruscha</strong></a> 1975, 207)</p>",जेन बाहा: |*| LAL0260,0,,27b6916c-9323-11e9-a015-0242ac120006
