tileid,parenttile_id,resourceinstance_id,Object name,Object image,Object image caption,object short description,Object identification number,sortorder,provisionaledits,nodegroup_id
5f63e4a4-df4d-45b4-8ef6-4c4a23d13309,26503def-c6d0-47b7-ac47-141c277880af,00fd72ab-5246-418e-b001-825a2f227a57,Pākaḥdyaḥ,/files/uploadedfiles/LAL4318-001_P_20210821_01.jpg,"<p>Pakāḥ Phalcā, aniconic stone worshipped as Pākadyaḥ, at the southeast corner of the Phalcā, view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",,LAL4318-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
f1753771-51e9-4649-8fad-c9ad5e8cce4a,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,Jaḥdhuṃhiti,/files/uploadedfiles/LAL4318-002_P_20210821_01.jpg,"<p>Pakāḥ Phalcā, <em>jaḥdhuṃhiti</em>, view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",,LAL4318-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
9e918002-db65-4e3a-bc56-b69d2c44746f,59fa8957-3947-4dfb-abdd-003513cf1953,01610bbc-5297-47cf-9164-9fa4f72a15a8,Mañjuśrī ,/files/uploadedfiles/KIR0013-004_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of Mañjuśrī inside a niche of the northern facade&nbsp;of the Caitya, view from N; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
8e9e528d-b1dd-4feb-a738-a543190b133c,cd7f6ea7-7b61-419a-aee3-3053192c4f05,01610bbc-5297-47cf-9164-9fa4f72a15a8,Lion 'Siṃha' (A),/files/uploadedfiles/KIR0013-005_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of guardian lion (A) at the southern side of the staircase of the Caitya, view from NE; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-005,0,,4b849918-9eea-11e9-8b93-0242ac120006
2359cd65-bdd8-49f2-b089-670c8b91c6e2,93740ee7-335e-47ca-bb41-2a4b4644ca3e,01610bbc-5297-47cf-9164-9fa4f72a15a8,Lion 'Siṃha' (B),/files/uploadedfiles/KIR0013-006_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of guardian lion (B) at the northern side of the staircase of the Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-006,0,,4b849918-9eea-11e9-8b93-0242ac120006
31a22b3c-c337-4d0e-bd16-972f0e715618,e137e258-86c5-41af-9657-976db4d2654e,01610bbc-5297-47cf-9164-9fa4f72a15a8,Aṣṭakoṇoparīvṛtākāra Caitya,/files/uploadedfiles/KIR0013-009_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Aṣṭakoṇoparivṛtākāra Caitya on the eastern part of the courtyard, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
","<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/caityaya%20tha/titleCreatorYear/items/AAAFCKMW/item-list"" target=""_blank""><strong>H. Śākya </strong></a>(1993, 43) identifies this type of octagonal <em>caityas</em> as <em>aṣṭakoṇoparīvṛttākāra caity</em>a.<strong> Howevever, <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/caity/titleCreatorYear/items/TMRR73VW/item-list"" target=""_blank"">Gustchow</a> </strong>(1997, 273) and <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/2S8K64WV"" target=""_blank""><strong>Shokoohy and others</strong></a>&nbsp;(2014, 357) call them Padmāvali motif <em>caityas</em> and <em>svayambhū caitya</em>s, respectively.</p>
",KIR0013-009,0,,4b849918-9eea-11e9-8b93-0242ac120006
a65d2a1e-5bf8-4358-b692-44e1cd5e6133,90e8695c-c389-4409-91ef-08ce86699e50,01610bbc-5297-47cf-9164-9fa4f72a15a8,Tulasī Devala,/files/uploadedfiles/KIR0013-010_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Tulasī Devala on the northern east part of the courtyard, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-010,0,,4b849918-9eea-11e9-8b93-0242ac120006
3141da0a-7cb3-4759-8525-004c0712f7b1,abfb105b-3c96-4ea3-89be-a761e7e5fdc6,01610bbc-5297-47cf-9164-9fa4f72a15a8,Śivaliṅga (B),/files/uploadedfiles/KIR0013-011_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Śivaliṅga (B) on the northeastern part of the courtyard, view from, E; photo by Yogesh Budathoki; 2021-08-02</p>
","<p>This Śivaliṅga is also known as Lukumāḥdyaḥ and gets a special worship by locals on the Picāśa Caturdaśī (Pāhāṃcaḥhre).</p>
",KIR0013-011,0,,4b849918-9eea-11e9-8b93-0242ac120006
efd1b893-b750-40ea-a6d6-43bef2762af4,5746b59b-27a8-44fa-a024-ef59863e3eee,01610bbc-5297-47cf-9164-9fa4f72a15a8,Śivaliṅga (A),/files/uploadedfiles/KIR0013-008_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Śivaliṅga (A) on the eastern part of the courtyard, view from N; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-008,0,,4b849918-9eea-11e9-8b93-0242ac120006
0a9cafec-5163-484d-b786-d979f1a5808b,6f548eab-9ae3-40b0-9c4c-d381f5f7e78b,01610bbc-5297-47cf-9164-9fa4f72a15a8,Maitreya Buddha,/files/uploadedfiles/KIR0013-001_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of Maitreya Buddha inside&nbsp;a niche of the eastern facade of the Caitya, view from E; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
cb971fc7-e6b7-4da9-9ed5-d536d9412082,55b45815-16ab-4fb5-8a8a-85448ce24ae0,01610bbc-5297-47cf-9164-9fa4f72a15a8,Vajrāpāṇi Lokeśvara,/files/uploadedfiles/KIR0013-002_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of Vajrāpāṇi Lokeśvara inside a the niche of the southern facade&nbsp;of the Caitya, view from S; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
b39d7b72-4fcf-413b-ba32-8fd86ab99cb5,d2661dfc-9c16-4af5-a851-cd2d4b9f3df7,01610bbc-5297-47cf-9164-9fa4f72a15a8,Padmapāṇi Lokeśvara,/files/uploadedfiles/KIR0013-003_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of Padmapāṇi Lokeśvara inside a&nbsp;niche of the western facade&nbsp;of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-003,0,,4b849918-9eea-11e9-8b93-0242ac120006
4cd61798-3884-4bcd-9ffb-683219fac93c,a02e8c83-3b6b-4ec3-903d-42e2c8b54db2,01610bbc-5297-47cf-9164-9fa4f72a15a8,Dharmadhātu Maṇḍala,/files/uploadedfiles/KIR0013-007_P_20210802_01.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Dharmadhātu Maṇḍala on the eastern part of the courtyard, view from N; photo by Yogesh Budathoki; 2021-08-02</p>
",,KIR0013-007,0,,4b849918-9eea-11e9-8b93-0242ac120006
0eebe381-db32-49be-b32d-ac809a336929,f2cc0b8c-aca4-447b-8a07-f094f3bc6b70,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Lion (B),/files/uploadedfiles/LAL2500-003_P_20210626_01.jpg,"<p>Nārāyaṇa Mandira, lion (B) on the southern side of the staircase, view from NW; photo by Yogesh Budathoki; 2021-06-26</p>
",,LAL2500-003,0,,4b849918-9eea-11e9-8b93-0242ac120006
777cf03c-931a-4b80-9876-731afcb90793,6ff1d429-2be8-47dd-9461-d25dfc44a790,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Bell,/files/uploadedfiles/LAL2500-004_P_20210626_01.jpg,"<p>Nārāyaṇa Mandira, bell hanged on northwest corner of the Temple, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,LAL2500-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
20de0ea0-e24c-4329-863f-a5532f85c536,c6a37cf5-a544-4cd4-adde-848d90fb47bf,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Lion (A),/files/uploadedfiles/LAL2500-002_P_20210626_01.jpg,"<p>Nārāyaṇa Mandira, lion (A) on the northern side of the staircase, view from SW; photo by Yogesh Budathoki; 2021-06-26</p>
",,LAL2500-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
e5d602a2-2b45-48b6-b3d4-0cce3a1fc24c,babf0d8a-b052-4c47-a42c-47d28e0cc2d5,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Nārāyaṇa,/files/uploadedfiles/LAL2500-001_P_20210626_01.jpg,"<p>Nārāyaṇa Mandira, statue of Nārāyaṇa in the sanctum, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,LAL2500-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
f186c3b8-95a0-4e29-9dc2-932ae4ea854f,1c3c4654-c65f-454c-8ceb-4b232bd68209,01de2008-1b9b-41d9-821a-b1eb6693db80,Rādhākṛṣṇa ,/files/uploadedfiles/LAL4128-004_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Rādhākṛṣṇa inside a wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
655a68a5-265f-4c76-bcc6-f9daa01904f0,36c092db-efb0-4ab2-9d3a-b8802694a803,01de2008-1b9b-41d9-821a-b1eb6693db80,Aniconic stone of Bhairava,/files/uploadedfiles/LAL4128-009_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, aniconic stone of Bhairava, view from SE; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-009,0,,4b849918-9eea-11e9-8b93-0242ac120006
d25a7f8c-3f56-41b5-a1c1-03b5a3eeade4,1a695e13-2f19-485c-a8b6-fb63ff80a0bd,01de2008-1b9b-41d9-821a-b1eb6693db80,Lakṣmīnārāyaṇa,/files/uploadedfiles/LAL4128-002_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Lakṣmīnārāyaṇa inside a wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
dad1482c-7cee-4b37-8fc3-4327b73bc725,63f5e0d5-52d4-4ea2-86f3-5d07bc7cda57,01de2008-1b9b-41d9-821a-b1eb6693db80,Sarasvatī ,/files/uploadedfiles/LAL4128-006_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Sarasvatī inside a wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-006,0,,4b849918-9eea-11e9-8b93-0242ac120006
dfb1b258-6147-43cf-a5bc-c72999b52e58,d4e9ec7a-a7ce-49e1-aee8-de3f1b414b26,01de2008-1b9b-41d9-821a-b1eb6693db80,Kṛṣṇa ,/files/uploadedfiles/LAL4128-008_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Kṛṣṇa inside a&nbsp;wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-008,0,,4b849918-9eea-11e9-8b93-0242ac120006
6d04a0c3-d109-4e75-a2a3-baa20d9e9299,8d9cbb5a-ba83-456e-bc0d-c8e349969f23,01de2008-1b9b-41d9-821a-b1eb6693db80,Svayambhū Caitya,/files/uploadedfiles/LAL4128-001_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, Svayambhū Caitya, view from SE; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
759c2851-e924-41f2-b192-dfda26914da4,e454dc41-e1ba-4d1e-9669-e24f4931c376,01de2008-1b9b-41d9-821a-b1eb6693db80,Saṅkaṭā ,/files/uploadedfiles/LAL4128-003_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Saṅkaṭā inside a wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-003,0,,4b849918-9eea-11e9-8b93-0242ac120006
e0cae5fa-4665-4be3-ac83-fc02606518a5,54d9f1ae-8a00-4b42-a948-ec34ab8e4bdb,01de2008-1b9b-41d9-821a-b1eb6693db80,Nārāyaṇa ,/files/uploadedfiles/LAL4128-007_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Nārāyaṇa inside a wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-007,0,,4b849918-9eea-11e9-8b93-0242ac120006
b64f2247-cefd-409f-a293-7d3e1331cdaa,517508dd-e59a-442f-ab35-e057f76f4f11,01de2008-1b9b-41d9-821a-b1eb6693db80,Lakṣmaṇa-Rāma-Sītā,/files/uploadedfiles/LAL4128-005_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone statue of Lakṣmaṇa, Rāma and Sītā inside a&nbsp;wall niche, view from S; photo by Yogesh Budathoki; 2020-12-20</p>
",,LAL4128-005,0,,4b849918-9eea-11e9-8b93-0242ac120006
4bc67956-7f00-4ef3-9ef6-e4bae1869303,0d81c03a-0c83-4ae6-a615-ed4c23b467ff,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Akṣobhya ,/files/uploadedfiles/KAT0820-001_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Akṣobhya inside a shrine attached to the the eastern side of the Caitya, view from E; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
3d557157-bd9c-4b22-9fca-b9bf801d1a7e,41b4ba8c-d80d-4da4-a161-1ee5792a4bd2,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Vairocana ,/files/uploadedfiles/KAT0820-002_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Vairocana inside a shrine attached to the south-eastern side of&nbsp;the Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
d41de1ec-5edd-4b33-babd-59d0f074cd11,ff54794f-4fec-4897-ab66-8e11525c72f6,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Māyādevī ,/files/uploadedfiles/KAT0820-006_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Māyādevī inside a shrine attached to the south-western side of the Caitya, view from SW; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-006,0,,4b849918-9eea-11e9-8b93-0242ac120006
ff23a06e-fbef-4b9a-83a7-bdd1e4d56611,b050b8dc-0dbe-4b6e-b9e5-f97af509d2c8,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Vajra ,/files/uploadedfiles/KAT0820-007_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>vajra </em>inside a shrine attached to the south-western side of the Caitya, view from SW; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-007,0,,4b849918-9eea-11e9-8b93-0242ac120006
