tileid,parenttile_id,resourceinstance_id,object relative position,object date(VS/NS),object date(BCE/CE),object material,other object type,object type,sortorder,provisionaledits,nodegroup_id
6c02a655-4bd1-4a48-9501-32af511c3e5d,26503def-c6d0-47b7-ac47-141c277880af,00fd72ab-5246-418e-b001-825a2f227a57,Separate,,0000,Stone,,Aniconic stone,0,,4b84a278-9eea-11e9-8b93-0242ac120006
0c33263d-5791-4e06-a3a2-e1542c57c02f,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,Attached,,0000,"Brick,Stone",,Jaḥrũhiti,0,,4b84a278-9eea-11e9-8b93-0242ac120006
4afcc580-5a9f-4b87-88f4-7104ac2e58fc,6f548eab-9ae3-40b0-9c4c-d381f5f7e78b,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
040db01d-5605-4b5c-a1a6-e0ea35171d1d,55b45815-16ab-4fb5-8a8a-85448ce24ae0,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
d6f3a4e1-374d-4688-bbb6-8497a7463d43,d2661dfc-9c16-4af5-a851-cd2d4b9f3df7,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
63583c41-8d59-4519-80a8-9341d0833a10,5746b59b-27a8-44fa-a024-ef59863e3eee,01610bbc-5297-47cf-9164-9fa4f72a15a8,Separate,"<p>VS 2033</p>
",1976,Stone,,Liṅga,0,,4b84a278-9eea-11e9-8b93-0242ac120006
fbdeb554-9c83-486a-a7ed-9c32c3634b14,e137e258-86c5-41af-9657-976db4d2654e,01610bbc-5297-47cf-9164-9fa4f72a15a8,Separate,,0000,Stone,,Caitya,0,,4b84a278-9eea-11e9-8b93-0242ac120006
a9d65404-ed5a-4562-a4ff-de2e634fdc05,59fa8957-3947-4dfb-abdd-003513cf1953,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
81ec7d50-ce6f-4808-957f-6ce496f2075b,cd7f6ea7-7b61-419a-aee3-3053192c4f05,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
9aaee615-1e0d-48a9-9779-6c16a855ea85,93740ee7-335e-47ca-bb41-2a4b4644ca3e,01610bbc-5297-47cf-9164-9fa4f72a15a8,Attached,"<p>NS 866</p>
",1746,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
d6d6626b-de44-4a9b-813a-310c166ca6b9,a02e8c83-3b6b-4ec3-903d-42e2c8b54db2,01610bbc-5297-47cf-9164-9fa4f72a15a8,Separate,"<p>NS 1063</p>
",1943,Stone,,Dharmadhātu,0,,4b84a278-9eea-11e9-8b93-0242ac120006
e085ffe3-6dbc-433e-9337-e022373c9865,90e8695c-c389-4409-91ef-08ce86699e50,01610bbc-5297-47cf-9164-9fa4f72a15a8,Separate,"<p>NS 900</p>
",1780,"Brick,Stone",,Shrine,0,,4b84a278-9eea-11e9-8b93-0242ac120006
80391493-daef-4769-8ae6-5c5598665cf9,abfb105b-3c96-4ea3-89be-a761e7e5fdc6,01610bbc-5297-47cf-9164-9fa4f72a15a8,Separate,,0000,Stone,,Liṅga,0,,4b84a278-9eea-11e9-8b93-0242ac120006
0b8c2dd6-6d08-4a02-8b99-e248cddd46bb,f2cc0b8c-aca4-447b-8a07-f094f3bc6b70,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Attached,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
3fd30146-c51e-4293-9653-66505ed66706,c6a37cf5-a544-4cd4-adde-848d90fb47bf,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Attached,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
e9fc50ad-c13e-469a-bb89-760ebc28be68,6ff1d429-2be8-47dd-9461-d25dfc44a790,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Inside the courtyard,,0000,Brass,,Bell,0,,4b84a278-9eea-11e9-8b93-0242ac120006
0c5ca9f8-ca6d-4ea7-9350-4b03abf8431c,babf0d8a-b052-4c47-a42c-47d28e0cc2d5,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Inside the monument,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
be6e309c-18dd-4572-aff2-b6ececa93a98,517508dd-e59a-442f-ab35-e057f76f4f11,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
a3fc8a69-b3e6-4346-8ae9-8e5a1f5ab9b2,1a695e13-2f19-485c-a8b6-fb63ff80a0bd,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
f7687416-0c2f-45ff-a62c-19372824728d,63f5e0d5-52d4-4ea2-86f3-5d07bc7cda57,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
72f16736-d0c9-4613-81f7-d5d875cdbd21,d4e9ec7a-a7ce-49e1-aee8-de3f1b414b26,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
2a1a0197-e68f-4f7f-a506-095618b5e607,8d9cbb5a-ba83-456e-bc0d-c8e349969f23,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,"<p>before 1795 CE</p>
",0000,Stone,,Caitya,0,,4b84a278-9eea-11e9-8b93-0242ac120006
4bc3f4df-2a7f-409e-a427-6fa23cb53b6e,e454dc41-e1ba-4d1e-9669-e24f4931c376,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
6aced4ee-e1e0-4921-8d2b-1c4bcb2ab450,54d9f1ae-8a00-4b42-a948-ec34ab8e4bdb,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
1aaf0f1a-465e-457f-976f-aad7d6c990b8,36c092db-efb0-4ab2-9d3a-b8802694a803,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Aniconic stone,0,,4b84a278-9eea-11e9-8b93-0242ac120006
c06788b1-c940-4dcd-8971-74ab99e06582,1c3c4654-c65f-454c-8ceb-4b232bd68209,01de2008-1b9b-41d9-821a-b1eb6693db80,Inside the courtyard,,0000,Stone,,Statue,0,,4b84a278-9eea-11e9-8b93-0242ac120006
b9874704-2415-41c3-bcd7-14f89fa815a7,e4987b2d-17c7-43ce-a93d-45d01b32c56b,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Inside the monument,,0000,Stone,,Other,0,,4b84a278-9eea-11e9-8b93-0242ac120006
fddffc59-1954-4148-b42e-52293d01ac87,a0c60f2e-2237-49c8-9bba-0e8b2cb0f8ca,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Inside the monument,,0000,Stone,,Other,0,,4b84a278-9eea-11e9-8b93-0242ac120006
