tileid,parenttile_id,resourceinstance_id,primaryimagedescription,primaryimagecaption,primaryimagefile,sortorder,provisionaledits,nodegroup_id
a0e496aa-9af8-4d9c-9790-4a108799fbad,None,00fd72ab-5246-418e-b001-825a2f227a57,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Pakāḥ Phalcā, view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",/files/uploadedfiles/LAL4318_P_20210821_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
0586b67b-59a0-4549-949a-2901f1847d18,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Mātakhyaḥ Śikharakūṭa Caitya, view from E; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013_P_20210802_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
f2647b0c-e293-4f56-b6ae-f150836719da,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Nārāyaṇa Mandira, front fa&ccedil;ade, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",/files/uploadedfiles/LAL2500_P_20210626_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
a0af550b-4198-4421-b26b-a791fab8d9ba,None,01de2008-1b9b-41d9-821a-b1eb6693db80,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Lvahãlã Phalcā, view from E; photo by Yogesh Budathoki; 2020-12-20</p>
",/files/uploadedfiles/LAL4128_P_20201220_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
db79fe50-80be-4b7c-a38b-0904be3f3843,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Tukaṃ Bāhāḥ Caitya, arieal view from the terrace of a private house, from E; photo by Yogesh Budathoki; 2021-08-07</p>
",/files/uploadedfiles/KAT0820_P_20210807_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
f70239af-92d8-48c6-990c-b4763da3face,None,02509f50-336d-423f-ac40-60dffc2d905c,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" style=""height:19px; width:52px"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in <strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p><big><small>Bhindyaḥ Bāhāḥ, view from E; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
",/files/uploadedfiles/LAL1880_P_20200804_02.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
bcd6db6c-caee-4955-907f-ac423e2c9771,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,"<p>Nārāyaṇa Mandira at Kulimā, wide view from W (December 2018)</p>",/files/uploadedfiles/LAL1420_P_20181207_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
fe4600d4-fcca-468f-8879-e9381bb7d80a,None,03ab0902-61c8-4458-8eee-f23e345d9372,,"<p>Neuta Phalcā, view from E; photo by Yogesh Budathoki; 2020-08-28</p>
",/files/uploadedfiles/LAL4127_P_20200828_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
d8835c31-8b56-4a95-aeb8-926b99cbbb50,None,0426294d-ffe2-4142-b167-1e17296e6a21,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Hariśaṅkara Mandira, front view from E; photo by Yogesh Budathoki; 2021-09-08</p>
",/files/uploadedfiles/BKT0061_P_20210908_01.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
77810d81-03ff-430c-a8bd-770e7f038ae8,None,049dc399-08e2-47c4-85b9-e66851694e69,"<p><img alt=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" src=""https://danam.cats.uni-heidelberg.de/media/img/sai_copyright.png"" /><br />
If not otherwise stated, all images and texts in this monument folder are published under Creative Commons Attribution 4.0 License (CC BY-SA 4.0), and the copyright lies with NHDP. All visuals of this monument folder and more are (or will be) also stored in&nbsp;<strong><a href=""https://heidicon.ub.uni-heidelberg.de/pool/nhdp_monuments"" target=""_blank"">heidICON</a></strong>, the object and multimedia database of Heidelberg University. (Type the ID-number or key words in the first line and click the search field.) You will also find the initial report there. The latest report will always be available in DANAM (this page).</p>
","<p>Vasu Bāhāḥ, <em>kvāḥpāḥdegaḥ </em>(left) and Amitābha Mandira (right), view from N; photo by Yogesh Budathoki; 2020-11-06</p>
",/files/uploadedfiles/LAL2400_P_20201106_02.jpg,0,,2ed570f8-9323-11e9-bee1-0242ac120006
