tileid,parenttile_id,resourceinstance_id,Monument references,sortorder,provisionaledits,nodegroup_id
d13b28a6-eefd-46ca-b5b1-e82680ffd016,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,"<p><!--?xml version=""1.0""?-->Gutschow, Niels. <em>The Nepalese Caitya: 1500 Years of Buddhist Votive Architecture in the Kathmandu Valley</em>. Monograph Series / Lumbini International Research Institute 1. Stuttgart, London: Menges, 1997.</p>

<p><!--?xml version=""1.0""?-->Śākya, Hemarāja. <em>Caityayā Thaḥgu Ātmakathā</em>. Lalitpur: Bekhā Rāj Vajrācārya, 1993.</p>

<p><!--?xml version=""1.0""?-->Shokoohy, Mehard, Natalie H. Shokoohy, and Śukra Ś. Śreṣṭha. <em>Street Shrines of Kirtipur, Nepal: As Long as the Sun and Moon Endure</em>. London: Araxus Books, 2014.</p>

<p><!--?xml version=""1.0""?-->Śukrasāgara, Śreṣṭha. <em>Kīrtipurko Sāṃskritika r Purātāttvika Itihāsa</em>. Kirtipur: Center for Nepal and Asian Studies, 2057.&nbsp;&nbsp;</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
ef422d82-8b46-4f30-9ad3-a25cee6660b3,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,"<p>Pruscha, Carl, ed.&nbsp;<em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
828d3368-3ee8-4f49-a043-56bc850da652,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,"<p><!--?xml version=""1.0""?-->Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
18c1cc31-849b-4624-bf8f-10f3344b0688,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p><!--?xml version=""1.0""?--><!--?xml version=""1.0""?-->Gutschow, Niels. <em>The Nepalese Caitya: 1500 Years of Buddhist Votive Architecture in the Kathmandu Valley</em>. Monograph Series / Lumbini International Research Institute 1. Stuttgart, London: Menges, 1997.</p>

<p>Locke, John Kerr. <em>Buddhist Monasteries of Nepal: A Survey of the Bahas and Bahis of the Kathmandu Valley</em>. Kathmandu: Sahayogi Press, 1985. https://archive.org/details/BuddhistMonasteriesOfNepalSurveyOfBahasAndBahisOfKathmanduValleyByJohnK.Locke.</p>

<p><!--?xml version=""1.0""?-->Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>

<p><!--?xml version=""1.0""?--></p>

<p>Sircar, D. C. <em>Indian Epigraphical Glossary</em>. Motilal Banarsidass, 1966.</p>

<p>lusser, Mary Shepherd. <em>Nepal Mandala: A Cultural Study of the Kathmandu Valley</em>. Vol. 1. Princeton, NJ: Princeton Univ. Pr., 1982.</p>
<!--?xml version=""1.0""?-->

<p>Śreṣṭha, Sukra Sagar. &ldquo;Tukan Bahal Stupa.&rdquo; <em>Ancient Nepal</em> 150 (2002): 20&ndash;38. https://drive.google.com/file/d/16ctA2nDf5NFHmOUGiL0KAUB7LbE_1TMz/view?usp=sharing.</p>

<p><!--?xml version=""1.0""?--></p>

<p>Vajrācārya, Ratnakājī, and Vijaya Ratna Vajrācārya. <em>Nepāḥ Deḥyā Vihārayā Tāḥcā</em>. Kathmandu: Ratnakājī Vajrācārya and Vijaya Ratna Vajrācārya, 1103. https://archive.org/details/NepaaDeyaViharyaTaachaaRatnaKajiVajracharyaVijayaRatnaVajracharya_201712.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
aa280647-cadd-41aa-b390-a20265f5641b,None,02509f50-336d-423f-ac40-60dffc2d905c,"<p>Locke, John Kerr. <em>Buddhist Monasteries of Nepal: A Survey of the Bahas and Bahis of the Kathmandu Valley</em>. Kathmandu: Sahayogi Press, 1985.</p>

<p>Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
aa162e85-ecd6-4c17-a489-c7885fba33c8,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,"<p>Gutschow, Niels. <em>Architecture of the Newars: A History of Building Typologies and Details in Nepal</em>. Vol. 2. 3 vols. Chicago: Serindia Publications, 2011.</p>

<p>Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>

<p>Kathmandu Valley Preservation Trust (KVPT). &ldquo;Narayana Temple Kulima, Patan: Historical Structure Report.&rdquo; Lalitpur: KVPT, 1998.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
3276fe87-53cd-4dbc-af60-e11c476f1ae2,None,049dc399-08e2-47c4-85b9-e66851694e69,"<p>Locke, John Kerr. <em>Buddhist Monasteries of Nepal: A Survey of the Bahas and Bahis of the Kathmandu Valley</em>. Kathmandu: Sahayogi Press, 1985.</p>

<p>Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>

<p>Śākya, Hemaraja. <em>Mahābuddha Mandira: Saṃkṣipta Itihāsa</em>. Lalitpur: Cakrarāja Śākya and friends, 2045.</p>

<p>Śākya, Hemrāj. <em>Śivadevasaṃskārita rudravarṇa mahāvihāra chagū adhyayana</em>. Lalitpur: 2538th Buddha Jayantī Samāroha Samiti, 1994.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
52966a51-e89e-466f-943c-228d27656c7a,None,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>Bhattacharyya, Benoytosh. <em>The Indian Buddhist Iconography</em>. 2 (Reprint), Firma K.L. Mukhopadhyay, 1968.</p>

<p>Gellner, David N. <em>Monk, Householder, and Tantric Priest : Newar Buddhism and Its Hierarchy of Ritual</em>. I, Cambridge University Press, 1992.</p>

<p>Pruscha, Carl, ed.&nbsp;<em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>

<p>Śākya,&nbsp;Mina Ba., <em>The Iconography of Nepalese Buddhism</em>. Handiraft Association of Nepal In Co-operation with ZDH/Technolect Asia Partnership Programme, 1994.</p>

<p>Śreṣṭha, Mina Bahādura, <em>Hiraṇyavarṇa Mahāvihāra, A Unique Newar Buddhist Monastery</em>. Nāgārjuna Publications Pvt. Ltd, 2004.</p>

<p>Vajrācārya, Rañjanā, <em>Lalitpur, Ilānanīsthita Śrīcaṇḍamahāraoṣaṇa (Śrīsaṅkaṭā) : eka adhyayana</em>. Padmaratna Dhākhvāḥ, 2059.</p>

<p>&nbsp;</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
4582d4c2-cb1f-4098-9ec9-a278529ae3fc,None,054498ec-d633-11e9-beea-0242ac140006,"<p><!--?xml version=""1.0""?-->Gutschow, Niels. <em>The Nepalese Caitya: 1500 Years of Buddhist Votive Architecture in the Kathmandu Valley</em>. Menges, 1997.</p>

<p><!--?xml version=""1.0""?-->Locke, John Kerr. <em>Buddhist Monasteries of Nepal: A Survey of the Bahas and Bahis of the Kathmandu Valley</em>. Sahayogi Press, 1985.</p>

<p><!--?xml version=""1.0""?--><!--?xml version=""1.0""?--></p>

<p>Pruscha, Carl, ed. <em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>

<p><!--?xml version=""1.0""?--></p>

<p>Sinclair, Iain. &ldquo;Hymns and Mantras Used in a Buddhist Procession of Lalitpur.&rdquo; <em>Paleswā̃ (Journal of Lotus Research Centre)</em>, vol. 26, 2010, pp. 25&ndash;42.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
59085048-02ca-46b5-afe7-40dd6c070c97,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,"<p><!--?xml version=""1.0""?--></p>

<p>Darnāla, Prakāśa. &ldquo;Pātana Khācheñ Sthit Nrityanātha Mandira.&rdquo; <em>Abhilekha</em> 17 (n.d.): 52&ndash;55.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
3db93018-c406-4b84-8e80-884a2c600a32,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,"<p>Gutschow, Niels, and Bijay Basukala. &lsquo;Patan. Documentation of Phalchas and Arcaded Ground Floors&rsquo;. Patan, Nepal, 1990.</p>

<p>Oldfield, H.A.&nbsp;<em>Sketches from Nepal</em>. Kathmandu: Sahayogi Press, 1987.</p>

<p>Pruscha, Carl, ed.&nbsp;<em>Kathmandu Valley: The Preservation of Physical Environment and Cultural Heritage, Protective Inventory</em>. Vol. 2. Vienna: Anton Schroll, 1975.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
e2cd7f0a-33ea-4eee-8beb-46443e81049b,None,068cb560-e748-11e9-b125-0242ac130002,"<p>Locke, John Kerr.&nbsp;<em>Buddhist Monasteries of Nepal: A Survey of the Bahas and Bahis of the Kathmandu Valley</em>. Kathmandu: Sahayogi Press, 1985. p. 60.</p>
",0,,b97cb40c-9ee8-11e9-ac4b-0242ac120006
