tileid,parenttile_id,resourceinstance_id,Type of roof,Number of roofs,Iconography of struts,Roofing,Number of struts,sortorder,provisionaledits,nodegroup_id
5fdaacac-20ac-4cb9-9b1e-9485cd406899,6a1c4509-2c5a-4b20-9a61-874448cd6e24,00fd72ab-5246-418e-b001-825a2f227a57,Lean-to-roof,1.0,,,,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
ac055d37-3511-4cae-accc-55832e9c9ea0,9c60d139-48be-4e8d-a927-79d30d69eed4,01610bbc-5297-47cf-9164-9fa4f72a15a8,Shikhara ,0.0,,,0,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
3f9fecb6-11bb-4d44-b597-59e09b997ec1,f2a95745-a235-40a8-9ea1-80418550a537,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Hip roof,1.0,,Jhĩgaṭī/pvala apā tiles,12,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
d301089e-f496-492d-9378-07fc3429f5bc,e0949e76-f4c4-4b10-8dcf-e2a759bc1b6e,01de2008-1b9b-41d9-821a-b1eb6693db80,Shed roof,1.0,,Jhĩgaṭī/pvala apā tiles,5,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
4d625274-7538-4eca-bc6f-254238657dcc,6e6460d0-5636-44e6-af40-9974e132f1c6,02509f50-336d-423f-ac40-60dffc2d905c,Hip roof,3.0,,Corrugated metal sheets,8,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
89be4899-1ad9-46d3-a8d9-d4ab8124bf77,8f9e2376-40b8-4271-a8e7-fabed81b4f6b,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Gable roof,2,,Jhĩgaṭī/pvala apā tiles,,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
c93cd569-1176-4f5a-87f5-a04b058ab694,8eecd993-20a8-4626-acd5-7db701a64cc8,03ab0902-61c8-4458-8eee-f23e345d9372,Shed roof,1.0,,Jhĩgaṭī/pvala apā tiles,14,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
3412da90-5236-467c-abb0-50354ce56367,d4deb720-1e01-4e33-bf67-e67624ef1a18,049dc399-08e2-47c4-85b9-e66851694e69,Shikhara ,1.0,,,0,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
a80a2398-4b2c-4caf-92b2-675f98ceacd9,26530700-b7c9-4480-a47d-6baeb1912423,054498ec-d633-11e9-beea-0242ac140006,Gable roof,,Buddhist,Corrugated metal sheets,,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
5a0a66e2-f0e6-40ab-94bc-fe746d976514,3363e158-b7bd-48ba-9048-935ece561c4c,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Pitched roof,2,,Slab,,0,,32f247ce-9eea-11e9-8cbd-0242ac120006
