tileid,parenttile_id,resourceinstance_id,historical event reference image,historical event reference description,historical inscription identification ,historical event references source,historical event transliteration and translation,historical event image caption,historical event references type,sortorder,provisionaledits,nodegroup_id
48020ab8-52e3-4a77-a67f-4232c4f5cddf,946ed4c7-b2c2-4498-a55b-0f022686759d,00fd72ab-5246-418e-b001-825a2f227a57,,,,"<p>The vice president of the Kumila Ṭola Sudhāra Samiti from Nakarmī caste, male, age 48</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
72495cfc-fb08-4e75-84ec-2c948fc593eb,4e3c6de4-8ff1-4cc5-8c09-d7fe6e75d469,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,,"<p>The inscription is lost. It has been published in&nbsp;<a href=""http://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/84R233N4/q/sukra""><strong>Ś. Śre</strong><strong>ṣṭ</strong><strong>ha</strong></a>&nbsp;(VS 2057, p. 148) abd&nbsp;<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/2S8K64WV"" target=""_blank""><strong>Shokoohy and others</strong></a>&nbsp;2014, p. 355.</p>
","<p>H - 21 cm&nbsp;</p>

<p>W = 20 cm&nbsp;</p>
",,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
37395bb6-b0d2-4391-85fb-995b0eff8078,02ef1d87-aa18-49a2-b060-79f462d2de54,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,KIR0013_I_001,"<p>Inscription from NS 900</p>
","<p>H - 9 cm&nbsp;</p>

<p>W - 71 cm&nbsp;</p>
",,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
567f6273-837f-4195-831d-297ddbcfe426,9a607613-e204-4115-b9e5-f4489af7dbcc,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,KIR0013_I_002,"<p>Inscription from NS 1063</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
0d32e2ed-07c4-407c-9154-27945509a29c,6909af1f-0da4-46c0-9fad-035f2ac7be48,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,KIR0013_I_003,"<p>Inscription from VS 2033</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
ef44eacc-4739-41c1-a94c-32fdc00a490e,3b8256d2-b8ab-4d72-8856-f446c37474c1,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
27756ac9-43db-4488-8cf1-a1df1c1a4deb,ecfeab44-696e-4a9b-9b40-6759b1dab45a,01610bbc-5297-47cf-9164-9fa4f72a15a8,,,,"<p>Local knowledge: A&nbsp;local resident, Vajrācārya, female, age 66</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a3ee9dd2-17b4-4a06-af18-87ea2e9bf507,fef816bd-2232-4281-9581-63a74782993e,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,LAL2500_I_002,"<p>Inscription from VS 2077 on the <em>patāḥ</em></p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
65e25378-2d9b-4e90-a857-cbce50ace9b2,70818d19-4b94-4944-ac2a-5cb3394ec8e3,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,,"<p>The President of the Cālāchẽ Ṭola Sudhāra Samiti from a Sinyā (Śreṣṭha) caste, male, age 67</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
7a522781-5cf2-4483-895e-21fca506be31,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,LAL2500_I_001,"<p>Inscription from VS 2077 on the bell</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
c1416b6c-6abb-4834-bf4a-e2966aed9aa6,826025f3-75b6-4a58-a168-efb592242573,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,,"<p>The president of the Cālāchẽ Ṭola Sudhāra Samiti from a Sinyā (Śreṣṭha) caste, male, age 67</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
f85e5ac9-80da-4445-b5bb-60408c94535c,2cb0866c-c87e-4511-8e11-6e3196f82263,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,,,"<p><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"" target=""_blank"">Pruscha </a></strong>1975 (P-250)</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
5f0b930e-e2c1-46a7-aae7-565a704b7e24,34b8a8b2-3a8c-4e7b-a461-a397853db76a,01de2008-1b9b-41d9-821a-b1eb6693db80,,,,"<p><em>Bhajana </em>guru of Lvahãlã Ṭol from a Maharjana caste, male, age 74</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
