tileid,parenttile_id,resourceinstance_id,monument type religion others,Monument type,monument type others,monument type religion,monument main diety,sortorder,provisionaledits,nodegroup_id
26506d28-aa2c-425e-ad43-a4b0963e81bd,None,00fd72ab-5246-418e-b001-825a2f227a57,,"Engaged to another building,Phalcā",,Unspecified,,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
dbdbe830-5038-4615-a45a-eaa31960b3fa,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,,Stūpa or Caitya,,Buddhist,Four Lokeśvaras ,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
c434054b-98ce-40d8-997b-6edfe5b4f961,None,017a4a8f-b183-4e57-9ff9-54ae1145378f,,Śikhara temple,,,Umāmaheśvara,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
18fa57f5-dd9f-4978-8f32-3810237f9771,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,Tiered temple,,"Hindu,Vaishnava",Nārāyaṇa,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
067ae9e2-7be5-4367-a2f8-d2256a6079ee,None,01de2008-1b9b-41d9-821a-b1eb6693db80,,Phalcā,,Hindu-Buddhist,None,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
b3570593-38bb-4a46-8430-12e1013157e9,None,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,"Monastic building (bāhāḥ),Stūpa or Caitya",,Buddhist,Pañcabuddha,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
1299f7ce-8d43-4823-bbb9-a94253c2a374,None,02509f50-336d-423f-ac40-60dffc2d905c,,Monastic building (bāhāḥ),,Buddhist,Akṣobhya,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
7d4ae153-b45c-4e37-a00f-5aff9667cb73,None,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,Tiered temple,,Vaishnava,Viṣṇu,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
0c046813-4df9-4b5a-94d3-3753a7de641f,None,03ab0902-61c8-4458-8eee-f23e345d9372,,Phalcā,,Hindu,None,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
a2e0b6e8-ad03-49e3-b334-0d347d7fa8c8,None,049dc399-08e2-47c4-85b9-e66851694e69,,Monastic building (bāhāḥ),,Buddhist,Akṣobhya,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
305255cf-1676-4313-85a2-d0fb4052f679,None,04e62546-0b04-41d7-9651-12189c45e5c6,,"Esoteric shrine (dyaḥchẽ, āgãchẽ),Engaged to another building",,Buddhist,Cakrasamvara/Saṅkaṭā,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
b530438d-1d85-4577-8286-ebcfaf901f37,None,054498ec-d633-11e9-beea-0242ac140006,,Monastic building (bāhāḥ),,Buddhist,Maitreya Bodhisattva,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
f757b908-e123-4c9c-b6a9-e19de77fcae5,None,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,Domed temple,,Shaiva,Triliṅgeśvara,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
9147da9e-5fed-42f1-8275-77a3d15703ad,None,0687a32c-e7e8-11e9-8bc4-0242ac130002,,Engaged to another building,,,,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
e35f051e-6712-43ba-a11e-c1af85d88ed4,None,068cb560-e748-11e9-b125-0242ac130002,,Monastic building (bāhāḥ),,Buddhist,Akṣobhya Buddha,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
f53e6437-8b6b-4a84-be0d-fbc28a9c3eb3,None,06a4360c-e5ec-11e9-b125-0242ac130002,,Integrated Phalcā ground floor,,Hindu,Hārītī Ajimā,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
8a136f6f-8efd-4e53-bbdd-63dc8febde82,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,Tiered temple,,Hindu,Bhīmasena,0,,2cc32ef4-9323-11e9-a3b4-0242ac120006
