tileid,parenttile_id,resourceinstance_id,social activity type,sortorder,provisionaledits,nodegroup_id
456ad851-24f8-4788-9da5-97d49a0a4e00,6a08a17e-c59a-44cd-955f-f656c0e15523,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
0538fc5d-769c-4581-a9a3-d1a1fe3bafae,ebb171ab-53b4-4ced-8b64-fe1196e8813c,054498ec-d633-11e9-beea-0242ac140006,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
00dc81d0-8e59-47c7-82ed-cf07cdbb4e6d,f1a3214d-e866-44f8-a210-cec314faeec0,054498ec-d633-11e9-beea-0242ac140006,Legend and myths,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
e8b30e1e-c37a-48b8-a1df-218564f0fc0b,d018028a-cae7-4378-ac72-fb2943e7453e,054498ec-d633-11e9-beea-0242ac140006,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
8b0b4ad1-93e8-4cd7-8676-dd874fc84601,7679b8ab-c094-480a-9ec0-b5144d1eb942,054498ec-d633-11e9-beea-0242ac140006,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
1502b769-295e-475f-b549-3edcce58731f,1f50d161-c2a5-4c41-be9b-dc57922dd042,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
a3c41b2f-eb70-4886-a8ab-96147909bb6a,5c3b1832-c2ef-4402-81a2-9e5c038aad2d,0687a32c-e7e8-11e9-8bc4-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
11427d51-f1d6-4e9d-8330-2227e1d07ad8,1217cbb3-e864-4c8a-a729-4f336b842534,0687a32c-e7e8-11e9-8bc4-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
528bfda2-1022-471b-81cd-830085f888b3,0dc7fde0-6923-49ad-9c5e-f188897f679c,068cb560-e748-11e9-b125-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
1a5eabf1-38e7-451d-ba29-a250a77f1fd5,1f293ad7-b59a-4f65-82ec-878c749bc1cb,068cb560-e748-11e9-b125-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
89b880fd-2ad7-4b85-b3f6-6eda359dd1cd,6f9ae06d-7171-4e2d-9c0f-ce14ff359eec,06a4360c-e5ec-11e9-b125-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
5b587069-9cd6-4e78-8bba-dad4df983133,3d01a6a8-8dea-41db-a072-5977d10d8446,0706813a-e81d-11e9-8bc4-0242ac130002,Social and religious actions and events,0,,fb0a3ef2-b8f7-11e9-b8a9-0242ac120007
