tileid,parenttile_id,resourceinstance_id,Thickness of walls,Type of bricks,sortorder,provisionaledits,nodegroup_id
ed04f4ed-f2ce-4fa9-a55d-278091a2e1f6,9c60d139-48be-4e8d-a927-79d30d69eed4,01610bbc-5297-47cf-9164-9fa4f72a15a8,0.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
1b59f767-08ab-4f24-89e4-e3bc68f52f23,f2a95745-a235-40a8-9ea1-80418550a537,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,55.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
3f69849e-2a80-41ad-928e-c0ae1a99ed6e,e0949e76-f4c4-4b10-8dcf-e2a759bc1b6e,01de2008-1b9b-41d9-821a-b1eb6693db80,33.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
4696ab0d-1a65-4fc1-9e8e-f12b466cb7a4,6e6460d0-5636-44e6-af40-9974e132f1c6,02509f50-336d-423f-ac40-60dffc2d905c,55.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
c1c0ba10-a53a-4253-8aad-38a17816b14f,8f9e2376-40b8-4271-a8e7-fabed81b4f6b,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,50,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
78153ba7-5d44-403d-94ec-92fbe6781dd1,8eecd993-20a8-4626-acd5-7db701a64cc8,03ab0902-61c8-4458-8eee-f23e345d9372,35.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
dda9f789-dc18-4b7b-ba5e-13c2ba904a1c,d4deb720-1e01-4e33-bf67-e67624ef1a18,049dc399-08e2-47c4-85b9-e66851694e69,40.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
abbc76d9-e249-428f-b411-a013b8323275,26530700-b7c9-4480-a47d-6baeb1912423,054498ec-d633-11e9-beea-0242ac140006,50,"mā apā (regular fired brick),dāci apā (conical veneer brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
1a3f2fe8-6932-46b5-90ee-6b8c923383fd,3363e158-b7bd-48ba-9048-935ece561c4c,05e2a35c-e8d5-11e9-8bc4-0242ac130002,0.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
6456d894-31ef-4fd5-8ec5-7944cc1d4ce1,5865848b-ee42-41c0-ad19-f73e9e983451,0687a32c-e7e8-11e9-8bc4-0242ac130002,42,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
929e7720-d851-4564-8a9e-36b9e4c8ec94,e1b88143-4a34-498e-a89e-884082c8f71b,068cb560-e748-11e9-b125-0242ac130002,23,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
3685d4c7-07cb-4fc5-b5b7-4e2b173b565a,e53687b7-1b82-4af5-88cf-a1ebe8157b49,06a4360c-e5ec-11e9-b125-0242ac130002,38,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
cd5c2b80-4ed6-4cec-b28b-d816381c8062,21d65540-7283-451e-a450-66ba8e8e9f7a,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,55.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
7d22739e-558f-41cb-8519-61f34e0ab45f,0cf4a57b-31c1-4f10-a1fb-7d7f5696ccb8,0706813a-e81d-11e9-8bc4-0242ac130002,45,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
cadb7d5d-fd39-4d7c-9ea4-0942148f47f8,a7b281d2-0381-423d-b7ac-9f7cf4f91af1,09670bee-ec13-11e9-b125-0242ac130002,55,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
0ef194e9-7a9b-4a56-a7bb-08153fe7e102,a9a56596-5559-4f43-83d6-4ff7a178574c,09adaf39-4932-4356-b6d1-3cce3af16e82,25.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
5a8da39d-1ccc-4141-9673-200ffa870e65,79d6d1be-25d5-48bd-8bc1-1b51e8ae3bee,09cff614-e084-49eb-9fd7-7e4eb20cd37d,45.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
0877cc5b-50b5-41e6-b0ec-e00889b2d9e9,d7d8c02e-1fc5-41ef-90bc-3f7486857e09,0a5850e6-17f9-11ea-b9b1-0242ac130002,23,"dāci apā (conical veneer brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
