tileid,parenttile_id,resourceinstance_id,number of wood carved windows,Peculiarities of doors and windows,number of bays front,number of doors,Number of bays Side,sortorder,provisionaledits,nodegroup_id
d3acdd1c-b622-4502-a481-4d55d4064f57,9c60d139-48be-4e8d-a927-79d30d69eed4,01610bbc-5297-47cf-9164-9fa4f72a15a8,0.0,,0.0,0.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
0da04185-41b0-4706-89c9-6b2e97bdd4d8,f2a95745-a235-40a8-9ea1-80418550a537,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,4.0,,0.0,4.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
6cc0c8e6-94a2-4e2b-b391-33c86d31486c,6e6460d0-5636-44e6-af40-9974e132f1c6,02509f50-336d-423f-ac40-60dffc2d905c,,,0.0,1.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
7cbab31f-6a23-49c2-b655-1ee2357c5b6b,8f9e2376-40b8-4271-a8e7-fabed81b4f6b,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,8,,1.0,1,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
3a01b8e2-8a67-4b9d-8966-74e6780b192b,8eecd993-20a8-4626-acd5-7db701a64cc8,03ab0902-61c8-4458-8eee-f23e345d9372,5.0,,3.0,0.0,1.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
a71b0da8-840a-4382-8189-60e27ec94e2b,d4deb720-1e01-4e33-bf67-e67624ef1a18,049dc399-08e2-47c4-85b9-e66851694e69,0.0,,0.0,1.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
fefbc69d-2b1c-4d0d-9f9c-fb1d87684dc8,26530700-b7c9-4480-a47d-6baeb1912423,054498ec-d633-11e9-beea-0242ac140006,4,,1,2,1,0,,32f25264-9eea-11e9-8cbd-0242ac120006
5565697a-a964-447f-9ffd-b4a13512c22d,5865848b-ee42-41c0-ad19-f73e9e983451,0687a32c-e7e8-11e9-8bc4-0242ac130002,0,,3,0,3.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
9a6aacad-fb54-48ce-9d68-88910689020d,e1b88143-4a34-498e-a89e-884082c8f71b,068cb560-e748-11e9-b125-0242ac130002,1,,,1.0,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
4bbb51f6-5fa1-4627-b7b4-4675a87991b8,e53687b7-1b82-4af5-88cf-a1ebe8157b49,06a4360c-e5ec-11e9-b125-0242ac130002,9,,1.0,4,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
584c0666-ebfc-4928-90d2-d1e6ddca2068,21d65540-7283-451e-a450-66ba8e8e9f7a,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,12.0,,7.0,1.0,1.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
14beb5df-7801-4267-a910-f67f579f3532,0cf4a57b-31c1-4f10-a1fb-7d7f5696ccb8,0706813a-e81d-11e9-8bc4-0242ac130002,,"<p>L-shaped building with 1 bay depth. Shorter part of the&nbsp;L is 3 bays, longer part of the L is 5 bays.&nbsp;</p>
",5,,3,0,,32f25264-9eea-11e9-8cbd-0242ac120006
89653a19-467c-4bec-b467-783b0e5ce1f9,ed6c40a5-1873-4694-a9d9-c0dde3502a11,0826cd5e-f3e4-11e9-a3c8-0242ac130002,0.0,,,1.0,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
46db34dd-d6fb-4126-918d-2e38eb5fc9e2,a7b281d2-0381-423d-b7ac-9f7cf4f91af1,09670bee-ec13-11e9-b125-0242ac130002,7,,3,1,2.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
cc533c13-3375-4d37-ad51-e93403af86a6,a9a56596-5559-4f43-83d6-4ff7a178574c,09adaf39-4932-4356-b6d1-3cce3af16e82,,,,1.0,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
0d22ff10-9148-4ccc-adc1-c139bcfe6756,79d6d1be-25d5-48bd-8bc1-1b51e8ae3bee,09cff614-e084-49eb-9fd7-7e4eb20cd37d,0.0,,0.0,1.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
3dd139f7-824d-4f13-ade6-8a310ffef5e3,d7d8c02e-1fc5-41ef-90bc-3f7486857e09,0a5850e6-17f9-11ea-b9b1-0242ac130002,0.0,,,,,0,,32f25264-9eea-11e9-8cbd-0242ac120006
73545e52-8bf4-42e1-9806-e966b1ecf80b,fa90d5f0-d3c2-4a4d-b81f-6483b8f2b7e0,0b6871b6-44e1-45f4-9074-005d6e68a28e,3.0,,3.0,0.0,1.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
f9168fed-42b4-40d7-8da6-a5b9c7b6d874,66aa24f9-5082-40ff-b03b-af221741b027,0b875a50-e754-11e9-b125-0242ac130002,3,,1,1,1.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
1e5b75a7-cd42-4cb4-83e7-0f3db6675b63,e62decc6-6c8a-421c-8d39-4e76cced4331,0be328fe-020b-11ea-a389-0242ac130002,0,,3,0,1,0,,32f25264-9eea-11e9-8cbd-0242ac120006
fb68e637-83a0-48e3-9c36-fcd7523aad0b,9ba2106e-05f8-432c-943a-fd71f9d1bf0e,0c6b269c-e676-11e9-8bc4-0242ac130002,8,,3,0,3.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
35f9035a-f18d-4015-a694-34437ce7f410,307165da-0241-4d1a-bd59-78ff6ba7f547,0cb251ee-3005-42d3-bc37-fe6cfbb30747,0.0,,0.0,0.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
3ba75be4-a584-4e8d-bec5-2d39d676d7c5,fb17fc91-d6d7-487d-80c4-7085505b6e80,0cbfabb8-e699-11e9-b125-0242ac130002,1,"<p>There is 1 carved door which serves as a main entry. On either side of the doorway are 2 blind windows (on the eastern facade of the ground floor), and 2 square lattice windows (on the first floor). The carved door is on the west-wing ground floor of the shrine. The door is intricately carved with images of wisdom bearers in the lintel end and a Buddha image at the center of the door frame, alongside two other images. The blind windows bear the image of the shrine&#39;s deity on the <em>vāhana</em> with other images.</p>
",0,7,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
6ac9d439-2ffd-4056-9fec-8ddb5a2215c8,c9790199-3e4e-45de-ab9a-81afe8074c9c,0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,0.0,,3.0,0.0,0.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
25ec5796-79fb-4886-ac31-bd0ee10f4aa3,80119cdb-2252-4445-a5ac-d023dad33c67,0fb3ffc0-395f-42e9-bece-bba42a1c530b,0.0,,3.0,3.0,3.0,0,,32f25264-9eea-11e9-8cbd-0242ac120006
